Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-30.7621,0.230434,0.288935,0.293236,0.19296,0.345501,0.332029,0.259028,0.304053,0.246512,0.269044,0.237678,0.304203,0.295488,0.260564,0.247686,0.27421,0.225592,0.25269,0.22314,0.213407,0.21024,0.230463,0.183956,0.193283,0.270141,0.193531,0.25148,0.28023,0.213829,0.2008,0.306044,0.306814,0.242709,0.198817,0.226912,0.248588,0.202133,0.215779
-30.2621,0.244323,0.292877,0.293374,0.206701,0.352352,0.339441,0.255913,0.305367,0.258849,0.278539,0.24188,0.308858,0.295689,0.269027,0.252322,0.275672,0.222565,0.258214,0.221792,0.208913,0.216315,0.243607,0.187719,0.195934,0.275415,0.19874,0.264149,0.294236,0.219042,0.208525,0.305934,0.309571,0.244956,0.195048,0.231713,0.254575,0.211524,0.21405
-29.7621,0.256071,0.288829,0.29282,0.219492,0.354467,0.344758,0.251851,0.30311,0.269604,0.286448,0.244545,0.311043,0.293234,0.27491,0.256802,0.27697,0.222439,0.258892,0.224338,0.207463,0.223146,0.249196,0.191658,0.201298,0.279954,0.207972,0.268782,0.301477,0.225017,0.216411,0.304258,0.307776,0.244014,0.195381,0.236264,0.258689,0.220752,0.212505
-29.2621,0.2659,0.280799,0.289649,0.233488,0.339109,0.335344,0.243225,0.292781,0.274035,0.29092,0.246749,0.302563,0.285744,0.272095,0.257228,0.271582,0.22265,0.251795,0.229812,0.207001,0.225055,0.248614,0.203794,0.211971,0.277345,0.21175,0.2635,0.295938,0.234118,0.22262,0.291863,0.293992,0.235736,0.199621,0.236474,0.261367,0.233055,0.211083
-28.7621,0.269215,0.273073,0.279118,0.242637,0.309785,0.312856,0.234233,0.277892,0.273716,0.283479,0.244696,0.282633,0.275664,0.264242,0.24993,0.256228,0.222244,0.241643,0.237095,0.208429,0.220508,0.236942,0.218228,0.220799,0.265712,0.207954,0.247442,0.281619,0.242526,0.221259,0.270423,0.273373,0.219497,0.20349,0.230338,0.258767,0.246392,0.213313
-28.2621,0.267142,0.270781,0.271318,0.24759,0.283857,0.290265,0.232596,0.272162,0.271577,0.275387,0.243805,0.265243,0.268449,0.260481,0.240123,0.242862,0.224517,0.23672,0.245164,0.213545,0.216391,0.226191,0.230935,0.227892,0.254667,0.202201,0.235201,0.26984,0.244985,0.220324,0.255731,0.25834,0.208956,0.206863,0.226299,0.253133,0.257285,0.221807
-27.7621,0.263603,0.273687,0.271026,0.25491,0.270752,0.278137,0.238362,0.27368,0.272973,0.277422,0.248056,0.260451,0.266152,0.263261,0.236082,0.237998,0.229251,0.239582,0.253208,0.221342,0.218034,0.226566,0.244449,0.236151,0.252266,0.201778,0.236436,0.267511,0.243954,0.225066,0.254662,0.255924,0.20896,0.212581,0.229444,0.249238,0.265553,0.234006
-27.2621,0.260458,0.276331,0.27458,0.264276,0.264293,0.272857,0.247324,0.276035,0.27704,0.285263,0.256343,0.265508,0.26612,0.26866,0.235842,0.238249,0.235141,0.245927,0.261655,0.229353,0.224353,0.233747,0.256685,0.244535,0.255259,0.206655,0.243513,0.270798,0.241363,0.232113,0.256709,0.26027,0.215099,0.21953,0.236743,0.245449,0.271728,0.244996
-26.7621,0.265365,0.283286,0.28553,0.276304,0.265622,0.27413,0.259922,0.283003,0.285318,0.298473,0.268859,0.278254,0.271873,0.278975,0.241584,0.24496,0.245164,0.256511,0.272017,0.238717,0.236384,0.247379,0.270139,0.256531,0.264653,0.21562,0.253756,0.278593,0.244403,0.24259,0.262762,0.271018,0.227733,0.229928,0.249555,0.246184,0.278853,0.256164
-26.2621,0.278462,0.293605,0.301679,0.289367,0.27391,0.281268,0.273806,0.294695,0.297291,0.313703,0.283167,0.295292,0.282901,0.293275,0.253441,0.25551,0.259108,0.270374,0.283572,0.249564,0.253006,0.265025,0.284135,0.271055,0.279657,0.226454,0.264129,0.288287,0.253772,0.254878,0.27218,0.285925,0.243297,0.243054,0.266892,0.251826,0.287339,0.26762
-25.7621,0.29648,0.304672,0.320448,0.301816,0.287554,0.292971,0.287308,0.311041,0.311102,0.327819,0.29801,0.311934,0.297331,0.309635,0.268714,0.26843,0.27689,0.286515,0.296813,0.26193,0.2715,0.283062,0.297946,0.286736,0.297921,0.238525,0.273973,0.297545,0.267187,0.267262,0.283213,0.301751,0.258308,0.259059,0.287268,0.261264,0.296621,0.280234
-25.2621,0.315869,0.316041,0.340932,0.313616,0.307233,0.312114,0.300441,0.331723,0.32629,0.341552,0.313174,0.325181,0.315195,0.328798,0.284668,0.283448,0.299193,0.305899,0.312416,0.276783,0.289794,0.300837,0.313382,0.304028,0.3183,0.251371,0.288532,0.307924,0.283795,0.280246,0.298126,0.319569,0.271084,0.277553,0.309453,0.274085,0.306063,0.29677
-24.7621,0.329112,0.324555,0.357816,0.324155,0.32693,0.336967,0.30971,0.349373,0.340389,0.354623,0.327532,0.331492,0.332694,0.346933,0.294896,0.295339,0.32304,0.327785,0.327878,0.292805,0.303249,0.314829,0.32995,0.321582,0.335044,0.262832,0.311735,0.321997,0.299678,0.29276,0.31373,0.337133,0.278716,0.293801,0.327959,0.285736,0.314823,0.315706
-24.2621,0.338059,0.334826,0.372924,0.337826,0.344038,0.365412,0.317844,0.361968,0.356209,0.371827,0.345585,0.335538,0.35023,0.364473,0.299803,0.303284,0.348297,0.354052,0.345749,0.312093,0.312585,0.32601,0.350955,0.341613,0.347665,0.275892,0.346297,0.345955,0.315827,0.307828,0.329286,0.355729,0.287161,0.308334,0.342375,0.295098,0.327745,0.336982
-23.7621,0.350489,0.354738,0.391629,0.359883,0.359648,0.393779,0.332064,0.375976,0.379341,0.398692,0.371094,0.346503,0.369598,0.382172,0.308807,0.313043,0.374275,0.384518,0.370095,0.337748,0.323278,0.338009,0.37888,0.366321,0.360371,0.294715,0.388238,0.382302,0.3338,0.32998,0.346598,0.37619,0.304958,0.325416,0.357435,0.30557,0.351092,0.361488
-23.2621,0.374395,0.388683,0.420198,0.39378,0.378384,0.418791,0.359148,0.401657,0.414516,0.43698,0.404799,0.370764,0.391664,0.401474,0.333406,0.334662,0.401472,0.416286,0.404825,0.372597,0.341345,0.355189,0.412913,0.396154,0.379182,0.323589,0.429821,0.425914,0.354446,0.3613,0.369206,0.39865,0.337417,0.351649,0.379643,0.324478,0.388093,0.390977
-22.7621,0.412715,0.434671,0.462007,0.439387,0.406536,0.442393,0.401785,0.445549,0.461777,0.484373,0.444421,0.409085,0.41744,0.426029,0.378948,0.374975,0.432826,0.449115,0.451376,0.416686,0.36882,0.381712,0.449941,0.427566,0.408679,0.36374,0.466882,0.468926,0.378545,0.40092,0.400945,0.424977,0.382686,0.389147,0.413129,0.357658,0.435205,0.426965
-22.2621,0.460597,0.485166,0.51429,0.491272,0.445995,0.470116,0.454462,0.503617,0.51524,0.535169,0.484342,0.456075,0.447932,0.458713,0.439141,0.430697,0.469049,0.484515,0.503363,0.46549,0.403892,0.418262,0.485407,0.457954,0.448198,0.410443,0.498988,0.506851,0.407372,0.444395,0.442342,0.45716,0.432629,0.432504,0.455771,0.404354,0.484521,0.467507
-21.7621,0.510308,0.531616,0.569328,0.540331,0.49303,0.505718,0.506297,0.562737,0.565079,0.582648,0.520184,0.505408,0.483038,0.499684,0.499209,0.48945,0.508087,0.522082,0.551212,0.512582,0.442392,0.461478,0.5162,0.486552,0.493687,0.456509,0.525954,0.538521,0.441706,0.48571,0.488109,0.495029,0.480367,0.473837,0.499976,0.456407,0.528877,0.507183
-21.2621,0.553719,0.570514,0.61944,0.580261,0.541545,0.549651,0.549903,0.611719,0.605342,0.623104,0.552484,0.553831,0.522498,0.545549,0.547847,0.540018,0.547852,0.560304,0.589216,0.554058,0.482188,0.505559,0.543653,0.515534,0.540501,0.496686,0.548967,0.565281,0.480596,0.520894,0.531679,0.536203,0.52374,0.510407,0.540572,0.504821,0.565331,0.542076
-20.7621,0.587163,0.602292,0.658402,0.608285,0.585648,0.597408,0.582692,0.64606,0.634068,0.654673,0.582308,0.597913,0.563889,0.59034,0.581598,0.577978,0.584673,0.595349,0.616835,0.587087,0.521865,0.54461,0.569284,0.546164,0.583128,0.528116,0.569254,0.587743,0.520508,0.546963,0.567477,0.575606,0.561939,0.543591,0.57483,0.544425,0.593191,0.570237
