Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-25.5576,0.204235,0.21614,0.235095,0.201693,0.189952,0.194933,0.200125,0.217154,0.227495,0.205835,0.206073,0.192484,0.197377,0.203941,0.198935,0.206892,0.213664,0.219714,0.219109,0.197726,0.186798,0.193037,0.233719,0.195009,0.216239,0.18482,0.204706,0.199699,0.185792,0.186353,0.21802,0.216888,0.175077,0.183618,0.169792,0.19848,0.227693,0.180458
-25.0576,0.210069,0.213922,0.247577,0.211306,0.1937,0.205068,0.208389,0.224719,0.229082,0.206279,0.210422,0.196317,0.205027,0.213684,0.196833,0.2048,0.219799,0.222441,0.218253,0.200848,0.186412,0.193963,0.237839,0.206168,0.21939,0.184299,0.206219,0.204855,0.188329,0.186289,0.226985,0.225303,0.176255,0.190711,0.179412,0.202141,0.232463,0.186441
-24.5576,0.217889,0.216559,0.258074,0.224201,0.200919,0.220185,0.217147,0.231835,0.237906,0.216796,0.219355,0.206838,0.216933,0.223302,0.199531,0.207929,0.225116,0.222312,0.223115,0.206381,0.191917,0.200568,0.242858,0.214953,0.225399,0.188794,0.212137,0.212866,0.196096,0.191043,0.234621,0.235142,0.183157,0.200323,0.190602,0.208879,0.236803,0.19886
-24.0576,0.232791,0.230107,0.272163,0.244345,0.21744,0.241545,0.232973,0.246305,0.256476,0.238416,0.236477,0.227009,0.236266,0.238674,0.213314,0.221486,0.234822,0.229319,0.239778,0.220329,0.207914,0.216854,0.254371,0.225383,0.238293,0.202021,0.22711,0.227927,0.212081,0.206303,0.247703,0.250899,0.199974,0.217238,0.207132,0.223232,0.247385,0.218995
-23.5576,0.258804,0.257095,0.29573,0.275312,0.247223,0.271772,0.261116,0.273297,0.283811,0.27073,0.264505,0.257742,0.265403,0.265139,0.240711,0.247362,0.254015,0.250955,0.270182,0.246428,0.235633,0.244091,0.276479,0.245435,0.260922,0.225937,0.253717,0.252807,0.238237,0.234119,0.271543,0.27555,0.228689,0.245349,0.234055,0.247754,0.269032,0.248096
-23.0576,0.301781,0.300906,0.337759,0.321565,0.294155,0.316532,0.306452,0.317881,0.32217,0.316473,0.308839,0.302848,0.308722,0.309128,0.283895,0.288287,0.289987,0.292922,0.316628,0.289162,0.277475,0.285424,0.314995,0.283476,0.297735,0.264266,0.295687,0.292328,0.278651,0.277633,0.311412,0.314165,0.272781,0.289165,0.278422,0.286416,0.306403,0.289999
-22.5576,0.357294,0.356618,0.395891,0.377988,0.351698,0.372601,0.361684,0.373558,0.367856,0.371865,0.365642,0.358234,0.361309,0.366718,0.336239,0.339297,0.341393,0.350471,0.370584,0.342332,0.327694,0.336012,0.366561,0.336974,0.344603,0.312428,0.347538,0.341946,0.328604,0.331037,0.363137,0.363472,0.326997,0.343947,0.336813,0.335452,0.354877,0.340004
-22.0576,0.417304,0.416007,0.462069,0.436745,0.411806,0.434275,0.417824,0.432502,0.418913,0.430257,0.427566,0.416181,0.416862,0.429031,0.389935,0.394156,0.400877,0.414453,0.423993,0.397353,0.380132,0.389948,0.423566,0.397074,0.395469,0.363844,0.401565,0.394315,0.381341,0.386912,0.419914,0.418543,0.384736,0.401069,0.400455,0.389814,0.406775,0.3922
-21.5576,0.474459,0.471603,0.526656,0.491511,0.469382,0.494967,0.469644,0.489767,0.472317,0.485938,0.487783,0.47025,0.470431,0.488231,0.439903,0.44728,0.459893,0.475784,0.473185,0.448284,0.430515,0.442248,0.478825,0.455257,0.445559,0.412798,0.453095,0.444105,0.431721,0.439076,0.475235,0.473957,0.440377,0.453845,0.460672,0.443666,0.455777,0.441943
-21.0576,0.522567,0.516611,0.579847,0.535962,0.519464,0.547038,0.513632,0.539224,0.520813,0.532493,0.539565,0.514365,0.516221,0.536898,0.482613,0.492876,0.509598,0.527331,0.514756,0.490462,0.474421,0.487099,0.525369,0.50355,0.488245,0.453973,0.497867,0.486271,0.474774,0.48182,0.521813,0.522033,0.488054,0.496995,0.510038,0.490724,0.496223,0.484305
-20.5576,0.557686,0.546836,0.616505,0.565479,0.557391,0.584617,0.547532,0.574836,0.556524,0.566566,0.577961,0.544833,0.549417,0.570495,0.515366,0.52658,0.544644,0.56418,0.545483,0.521235,0.507404,0.520133,0.558481,0.538144,0.517778,0.483117,0.531113,0.517146,0.506737,0.511608,0.554499,0.556137,0.523156,0.527364,0.544889,0.525518,0.525268,0.515526
-20.0576,0.57773,0.561316,0.635448,0.578297,0.579406,0.605305,0.568028,0.593603,0.576082,0.586928,0.600436,0.56093,0.567402,0.587916,0.536524,0.546462,0.563413,0.58357,0.563098,0.539887,0.526799,0.539306,0.575993,0.556937,0.530935,0.498631,0.549386,0.534425,0.5251,0.527854,0.570412,0.573893,0.543467,0.544226,0.563977,0.545542,0.542276,0.533873
-19.5576,0.581325,0.561206,0.637869,0.576561,0.585509,0.610153,0.572894,0.596051,0.579501,0.59461,0.60604,0.561977,0.569491,0.589153,0.545438,0.552581,0.56617,0.587797,0.567787,0.546819,0.532032,0.545543,0.577475,0.560292,0.528174,0.501384,0.552238,0.53793,0.528942,0.53143,0.570653,0.575444,0.549021,0.548966,0.568591,0.552271,0.548029,0.539459
-19.0576,0.569288,0.549354,0.626009,0.564261,0.577253,0.601435,0.5624,0.584746,0.570467,0.592417,0.596403,0.548208,0.558034,0.576558,0.541454,0.546117,0.556888,0.581006,0.561523,0.543245,0.525428,0.541092,0.565146,0.551484,0.514315,0.494175,0.543742,0.530813,0.519351,0.524159,0.558466,0.564028,0.542039,0.543931,0.561599,0.547373,0.545426,0.534068
-18.5576,0.547862,0.53009,0.602997,0.54652,0.558856,0.581654,0.540919,0.563387,0.553936,0.584582,0.577204,0.523677,0.537439,0.554327,0.525914,0.529469,0.543873,0.569272,0.547927,0.532245,0.511389,0.528825,0.54537,0.536249,0.49423,0.481178,0.529661,0.517646,0.500788,0.510188,0.538843,0.544342,0.524681,0.531612,0.547267,0.534979,0.539527,0.522114
-18.0576,0.529034,0.512739,0.57386,0.531066,0.53658,0.556362,0.516865,0.53856,0.534326,0.578173,0.559075,0.497549,0.515069,0.532471,0.504347,0.508289,0.539583,0.563317,0.533676,0.519365,0.49515,0.513127,0.528738,0.52353,0.47357,0.467479,0.515402,0.503087,0.480785,0.49829,0.521545,0.524672,0.503001,0.516497,0.530821,0.517714,0.536409,0.511585
-17.5576,0.522873,0.506898,0.5437,0.524965,0.516474,0.532673,0.497909,0.51803,0.516026,0.57969,0.550871,0.479154,0.498491,0.520159,0.484087,0.488833,0.552333,0.570158,0.525322,0.509518,0.481351,0.499079,0.523526,0.520006,0.456249,0.45729,0.505635,0.491371,0.465489,0.49713,0.513757,0.514072,0.484469,0.502649,0.516084,0.49775,0.540311,0.508638
-17.0576,0.529195,0.514373,0.514304,0.529007,0.500222,0.512032,0.48719,0.505812,0.499329,0.590322,0.553058,0.471822,0.490213,0.517474,0.468193,0.472316,0.578955,0.589288,0.523911,0.503657,0.470598,0.488257,0.528521,0.525317,0.443338,0.449254,0.499482,0.482214,0.455301,0.508084,0.515186,0.513346,0.471838,0.489823,0.502045,0.476763,0.550029,0.512614
-16.5576,0.537083,0.526083,0.486401,0.536912,0.485706,0.492274,0.483591,0.500744,0.483232,0.602574,0.556939,0.4721,0.486757,0.516166,0.453936,0.455717,0.604157,0.60926,0.524341,0.499236,0.461358,0.479329,0.534548,0.532024,0.434943,0.43972,0.492001,0.472727,0.446393,0.523025,0.517384,0.516337,0.464632,0.474183,0.484829,0.454116,0.557858,0.516754
-16.0576,0.533878,0.527911,0.462728,0.540239,0.469644,0.470819,0.483431,0.498121,0.468524,0.60569,0.550973,0.472787,0.482026,0.506357,0.437083,0.436351,0.609847,0.611549,0.520564,0.494322,0.453064,0.471091,0.532553,0.531971,0.430367,0.426226,0.479671,0.461053,0.435732,0.528293,0.510364,0.513517,0.456991,0.452495,0.463745,0.432765,0.55542,0.513728
-15.5576,0.518106,0.5149,0.448762,0.537254,0.453527,0.450465,0.484865,0.496457,0.459152,0.596268,0.533007,0.470415,0.474765,0.488837,0.41871,0.417208,0.591292,0.58927,0.513923,0.491658,0.448792,0.465727,0.523082,0.524001,0.430837,0.411689,0.464851,0.449083,0.427094,0.519198,0.49293,0.501938,0.446916,0.430159,0.445285,0.417083,0.543261,0.504852
-15.0576,0.50034,0.497614,0.450634,0.535587,0.443852,0.439301,0.490894,0.500516,0.461174,0.582562,0.512377,0.467794,0.470826,0.475285,0.406559,0.40727,0.560963,0.5546,0.514501,0.498372,0.45533,0.470861,0.51669,0.516783,0.439171,0.403781,0.45828,0.444881,0.428396,0.505754,0.474051,0.488301,0.43883,0.420114,0.440735,0.412265,0.531588,0.5004
-14.5576,0.491072,0.490832,0.469279,0.542463,0.443607,0.441109,0.504659,0.51421,0.477065,0.576601,0.499305,0.469297,0.476593,0.475334,0.406734,0.410962,0.536049,0.52568,0.530329,0.518832,0.476422,0.491501,0.522217,0.519965,0.456954,0.406427,0.468675,0.454628,0.442529,0.500945,0.462374,0.479687,0.43834,0.431142,0.455676,0.419816,0.531356,0.509476
-14.0576,0.492137,0.499399,0.496369,0.557725,0.450448,0.45238,0.52433,0.53498,0.501004,0.58231,0.496421,0.476312,0.491295,0.488333,0.417284,0.423659,0.525362,0.513956,0.558519,0.548429,0.507507,0.522678,0.538836,0.534726,0.479779,0.416367,0.492168,0.475458,0.463167,0.50844,0.459577,0.477336,0.446918,0.458963,0.483867,0.434701,0.543475,0.532231
-13.5576,0.496708,0.515783,0.520249,0.573462,0.458078,0.465022,0.542489,0.554544,0.521682,0.592553,0.497817,0.485594,0.507001,0.504765,0.430319,0.435694,0.525328,0.515941,0.586769,0.575806,0.535785,0.55177,0.556699,0.553374,0.499054,0.425572,0.516104,0.497336,0.478673,0.519147,0.461053,0.477333,0.460302,0.489082,0.512244,0.44823,0.557758,0.558452
-13.0576,0.496417,0.52664,0.531688,0.579341,0.46273,0.472956,0.548907,0.562839,0.529009,0.594957,0.495262,0.491259,0.513913,0.513917,0.437363,0.438229,0.526575,0.520269,0.599421,0.588117,0.547211,0.564383,0.563382,0.563868,0.506071,0.4271,0.527585,0.509415,0.479443,0.519005,0.460115,0.474616,0.471788,0.506498,0.527308,0.453118,0.559757,0.572599
-12.5576,0.487445,0.523622,0.528483,0.570212,0.464601,0.474494,0.538906,0.554701,0.519274,0.582236,0.485342,0.489244,0.507856,0.511537,0.434511,0.429658,0.522715,0.518799,0.588515,0.578658,0.535375,0.554081,0.553191,0.558483,0.495715,0.419472,0.522075,0.506491,0.463884,0.502117,0.454268,0.467274,0.476344,0.504861,0.523175,0.447888,0.543702,0.565404
-12.0576,0.471612,0.507624,0.515324,0.548843,0.465439,0.472215,0.517414,0.532834,0.497814,0.556802,0.471155,0.480554,0.492409,0.499381,0.423946,0.414791,0.513641,0.510308,0.558703,0.552024,0.506205,0.52595,0.529987,0.539072,0.470649,0.406015,0.504728,0.490962,0.439239,0.475031,0.44515,0.456247,0.474168,0.488908,0.504034,0.437011,0.514754,0.539728
-11.5576,0.456455,0.487491,0.499733,0.52527,0.469401,0.472452,0.496117,0.508249,0.477008,0.528732,0.460193,0.47215,0.476924,0.48461,0.412933,0.403517,0.503771,0.499019,0.523721,0.519806,0.474884,0.493304,0.50476,0.51544,0.441034,0.394271,0.485364,0.470558,0.41835,0.451557,0.439682,0.446159,0.470801,0.4699,0.481428,0.429306,0.486433,0.509427
-11.0576,0.453812,0.477095,0.492707,0.513776,0.482102,0.484403,0.488487,0.497409,0.471927,0.514047,0.462015,0.475874,0.474281,0.478623,0.412769,0.406782,0.501037,0.494494,0.502028,0.498161,0.457975,0.473174,0.491078,0.502525,0.423165,0.395241,0.475056,0.45692,0.414186,0.445478,0.447108,0.446341,0.477177,0.459762,0.470215,0.434123,0.475189,0.49192
-10.5576,0.470944,0.487747,0.503181,0.524147,0.50925,0.514328,0.502213,0.511165,0.48991,0.523182,0.483421,0.500557,0.49266,0.491915,0.430274,0.428705,0.513128,0.506759,0.50468,0.499265,0.463988,0.47541,0.496675,0.511059,0.428893,0.415375,0.481529,0.460325,0.431413,0.461646,0.472178,0.464076,0.501663,0.465441,0.478672,0.457137,0.487793,0.495456
-10.0576,0.505742,0.52202,0.53347,0.556558,0.552247,0.561278,0.535976,0.548302,0.527269,0.556199,0.523316,0.545536,0.530853,0.526955,0.464304,0.465216,0.541883,0.538771,0.530507,0.523357,0.489076,0.498712,0.520716,0.54083,0.459566,0.453291,0.505677,0.483858,0.46517,0.495055,0.512672,0.499934,0.544321,0.486589,0.504543,0.49647,0.520076,0.516473
-9.55756,0.547613,0.571207,0.577255,0.602413,0.603714,0.615714,0.58004,0.596717,0.572599,0.602231,0.572991,0.60065,0.578852,0.576498,0.506764,0.50718,0.58117,0.583598,0.569074,0.561333,0.5225,0.53381,0.555811,0.582608,0.505341,0.499944,0.54222,0.522214,0.504645,0.535228,0.558207,0.54535,0.595827,0.516426,0.538355,0.544387,0.560409,0.544331
-9.05756,0.584148,0.620063,0.621452,0.647045,0.65073,0.66313,0.620932,0.641055,0.612702,0.646234,0.620535,0.650596,0.623806,0.625672,0.547241,0.54614,0.620264,0.628584,0.6061,0.598985,0.553439,0.569618,0.592228,0.624005,0.551598,0.542968,0.582165,0.564865,0.539969,0.571929,0.596923,0.586704,0.641394,0.546524,0.570921,0.590576,0.596328,0.569584
-8.55756,0.611385,0.656528,0.655896,0.680154,0.683376,0.695698,0.651083,0.674321,0.643176,0.679877,0.658846,0.685802,0.65713,0.662893,0.58167,0.579217,0.652005,0.665142,0.634252,0.626873,0.578171,0.601442,0.624033,0.657808,0.5899,0.576456,0.618533,0.602951,0.567831,0.600083,0.622619,0.616054,0.672737,0.571425,0.598471,0.628589,0.623128,0.589865
-8.05756,0.633364,0.677076,0.678835,0.697896,0.699811,0.714155,0.66938,0.697187,0.664703,0.70191,0.688043,0.705146,0.677908,0.685338,0.610553,0.607005,0.676297,0.692002,0.654439,0.645228,0.598683,0.629426,0.649566,0.683207,0.618025,0.60101,0.648684,0.632997,0.58875,0.618664,0.637554,0.634806,0.690775,0.589105,0.620731,0.656916,0.642333,0.607227
-7.55756,0.655036,0.685605,0.694599,0.703316,0.705643,0.724438,0.679994,0.711645,0.679487,0.716286,0.711498,0.712617,0.689082,0.696652,0.635147,0.629957,0.695922,0.712041,0.670301,0.658909,0.61665,0.653086,0.668818,0.70137,0.637133,0.620221,0.672409,0.654327,0.605452,0.628844,0.649022,0.650816,0.70187,0.600357,0.638063,0.676588,0.655846,0.623714
-7.05756,0.677882,0.690656,0.707406,0.704518,0.707918,0.732239,0.688521,0.719799,0.690826,0.727033,0.732065,0.714451,0.695052,0.703168,0.655548,0.649048,0.712654,0.727093,0.684205,0.672019,0.631732,0.670845,0.682296,0.713295,0.649835,0.63758,0.690734,0.667299,0.621036,0.635457,0.662838,0.670777,0.71201,0.607654,0.649777,0.690478,0.665666,0.638922
-6.55756,0.698618,0.698048,0.719017,0.70794,0.710373,0.739196,0.697397,0.723827,0.700319,0.736194,0.749004,0.715117,0.70011,0.707941,0.669291,0.665266,0.72631,0.737329,0.695886,0.685231,0.641963,0.681162,0.690095,0.719887,0.658961,0.654131,0.703507,0.67311,0.636186,0.643704,0.678402,0.693174,0.722104,0.61287,0.655633,0.701249,0.672259,0.650271
-6.05756,0.711597,0.707343,0.729036,0.714831,0.712135,0.744435,0.706242,0.725838,0.708209,0.742808,0.759649,0.714557,0.70394,0.710087,0.673612,0.678016,0.735363,0.742269,0.704144,0.696309,0.64576,0.683669,0.692002,0.721698,0.666287,0.668001,0.708974,0.673838,0.648594,0.654658,0.689752,0.709926,0.728682,0.616639,0.65586,0.709366,0.675851,0.654874
