Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-28.7101,0.277314,0.30899,0.249827,0.294648,0.292151,0.307336,0.268948,0.285219,0.306326,0.308496,0.309912,0.268139,0.251558,0.229431,0.268016,0.290686,0.260642,0.275683,0.259762,0.306952,0.2649,0.281783,0.286055,0.255271,0.282,0.251089,0.271082,0.279166,0.220147
-28.2101,0.310876,0.340093,0.279972,0.320368,0.326474,0.330844,0.30484,0.314626,0.333432,0.337981,0.325614,0.296576,0.283027,0.25896,0.302295,0.322402,0.285498,0.301094,0.286134,0.334337,0.292694,0.324506,0.314398,0.285217,0.311062,0.282803,0.298504,0.316793,0.246431
-27.7101,0.339451,0.365889,0.306611,0.340261,0.356663,0.352603,0.330223,0.336334,0.354709,0.357909,0.336875,0.318579,0.309647,0.281407,0.327502,0.346674,0.305156,0.323119,0.306157,0.355267,0.316109,0.358983,0.338348,0.307777,0.335354,0.306561,0.319819,0.347296,0.269686
-27.2101,0.372191,0.395012,0.337872,0.363464,0.392019,0.379188,0.357195,0.360148,0.379349,0.374947,0.348631,0.343207,0.340101,0.305715,0.352296,0.372877,0.327504,0.350726,0.327879,0.377908,0.343952,0.395928,0.366611,0.331798,0.36374,0.333641,0.342739,0.382837,0.298441
-26.7101,0.397151,0.416223,0.362955,0.380655,0.421586,0.401754,0.373073,0.376325,0.397432,0.378993,0.355852,0.36013,0.36287,0.32197,0.365154,0.390613,0.343897,0.374909,0.341496,0.391125,0.364773,0.419269,0.388449,0.34702,0.385345,0.352248,0.357514,0.410233,0.324418
-26.2101,0.405536,0.423136,0.374065,0.386893,0.43628,0.411715,0.375285,0.3815,0.40331,0.369725,0.355929,0.365139,0.370294,0.32521,0.365098,0.396438,0.34982,0.388746,0.34386,0.39172,0.371403,0.422934,0.39757,0.350289,0.393963,0.357738,0.359917,0.420553,0.341265
-25.7101,0.399263,0.41836,0.372531,0.383134,0.437145,0.40922,0.368835,0.37841,0.397861,0.354596,0.350741,0.360189,0.365235,0.318977,0.35885,0.393425,0.345544,0.390971,0.338611,0.383178,0.365337,0.414111,0.395226,0.344298,0.391557,0.352218,0.353001,0.415688,0.348414
-25.2101,0.382354,0.405806,0.361656,0.369946,0.428283,0.397972,0.356168,0.368551,0.382999,0.337853,0.340471,0.347627,0.351241,0.306511,0.349963,0.38343,0.331958,0.382298,0.327644,0.368169,0.349483,0.398735,0.384134,0.331151,0.380858,0.339034,0.339917,0.400441,0.347238
-24.7101,0.360001,0.388694,0.346213,0.350819,0.413979,0.382462,0.339608,0.353643,0.361916,0.32105,0.326176,0.330228,0.33215,0.290975,0.338783,0.367701,0.311536,0.366524,0.312984,0.349926,0.328101,0.379487,0.367738,0.313053,0.36496,0.322691,0.324155,0.380183,0.339591
-24.2101,0.337123,0.369406,0.329825,0.330185,0.398052,0.366204,0.321795,0.336847,0.338268,0.304814,0.309587,0.311327,0.311373,0.275127,0.324948,0.348181,0.288594,0.348548,0.295345,0.330417,0.305686,0.356794,0.349265,0.29303,0.346206,0.306534,0.308929,0.359801,0.327903
