Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-19.028,0.145389,0.129143,0.147241,0.101262,0.0951258,0.1301,0.105738,0.124983,0.138674,0.109616,0.113625,0.104728,0.092617,0.0897298,0.129204,0.0791771,0.108531,0.148849,0.121693,0.0988104,0.0957808,0.0763316,0.0938224,0.103844,0.0830052,0.108028,0.099863,0.0944714,0.128753
-18.528,0.163094,0.130201,0.142555,0.117619,0.123765,0.136264,0.111938,0.149974,0.134614,0.13016,0.135114,0.123479,0.110255,0.103722,0.13553,0.0956435,0.115919,0.148493,0.137989,0.109729,0.11301,0.101028,0.117273,0.115406,0.103403,0.116045,0.115219,0.114198,0.133063
-18.028,0.180201,0.139781,0.157763,0.132601,0.145978,0.145605,0.118986,0.174401,0.140844,0.1489,0.157823,0.135057,0.12683,0.121467,0.145165,0.112717,0.125306,0.151791,0.159774,0.118752,0.129738,0.128117,0.14482,0.127363,0.121443,0.126751,0.127955,0.134937,0.136313
-17.528,0.198227,0.154904,0.174404,0.149829,0.164411,0.156533,0.129685,0.198848,0.151513,0.165797,0.181917,0.143389,0.143514,0.141245,0.156964,0.129906,0.138215,0.156365,0.184954,0.125462,0.145738,0.157347,0.174144,0.13947,0.139441,0.13627,0.139552,0.157124,0.138566
-17.028,0.210797,0.174958,0.192162,0.164921,0.174754,0.167044,0.143355,0.218217,0.16376,0.176103,0.201774,0.14979,0.157187,0.15687,0.1698,0.143915,0.154681,0.160526,0.207903,0.128183,0.157765,0.182565,0.197387,0.147998,0.154897,0.142085,0.146868,0.175619,0.138374
-16.528,0.207389,0.190335,0.201854,0.184016,0.176214,0.174656,0.165551,0.219247,0.173137,0.179021,0.204517,0.160155,0.168006,0.156032,0.180431,0.152111,0.176742,0.161981,0.210232,0.131438,0.160765,0.188154,0.205948,0.148326,0.165219,0.148048,0.15005,0.181693,0.134484
-16.028,0.197386,0.186955,0.200066,0.193302,0.174237,0.177769,0.178079,0.202001,0.177347,0.177277,0.194241,0.174411,0.172101,0.145914,0.18541,0.154199,0.187816,0.164111,0.189358,0.141611,0.157111,0.172659,0.197186,0.145593,0.162584,0.1564,0.152136,0.174169,0.133818
-15.528,0.196812,0.179469,0.201339,0.195674,0.174269,0.181266,0.180042,0.190119,0.182346,0.177067,0.18985,0.185374,0.173782,0.143976,0.186937,0.155837,0.188829,0.169761,0.175396,0.153266,0.156555,0.161192,0.190316,0.147277,0.157427,0.162439,0.15581,0.169946,0.138802
-15.028,0.202037,0.175442,0.206185,0.197684,0.173251,0.185227,0.179322,0.185612,0.188057,0.179019,0.19116,0.192411,0.17613,0.148384,0.187528,0.158252,0.187763,0.176774,0.171291,0.163087,0.159122,0.15703,0.188121,0.151998,0.153994,0.164734,0.159411,0.170816,0.146556
-14.528,0.207786,0.174883,0.211291,0.200015,0.169646,0.188077,0.178915,0.185542,0.191526,0.183891,0.195406,0.197752,0.1784,0.154604,0.188414,0.161833,0.188447,0.183497,0.171125,0.170294,0.162729,0.156407,0.186449,0.157732,0.151001,0.164968,0.162994,0.172891,0.155878
