Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-30.2452,0.170186,0.167688,0.185198,0.175543,0.145644,0.143041,0.191335,0.176842,0.147241,0.134192,0.169173,0.14593,0.171168,0.155639,0.182887,0.147313,0.179303,0.186155,0.142991,0.153776,0.157615,0.165693,0.162786,0.117495,0.157812,0.164201,0.195357,0.160922,0.128985
-29.7452,0.166421,0.170997,0.183752,0.182988,0.159405,0.160509,0.193912,0.189675,0.152423,0.146096,0.177753,0.166294,0.178146,0.153118,0.184174,0.155874,0.187926,0.20085,0.143557,0.164904,0.160593,0.169741,0.175808,0.120131,0.166743,0.17077,0.193703,0.163018,0.134555
-29.2452,0.173425,0.176735,0.185038,0.189648,0.169379,0.172533,0.200022,0.198849,0.165836,0.157418,0.176937,0.178114,0.187036,0.158803,0.186712,0.159249,0.188273,0.206954,0.154404,0.172128,0.169606,0.17563,0.186525,0.128477,0.1706,0.17118,0.191411,0.164968,0.140566
-28.7452,0.182872,0.185075,0.188328,0.195296,0.175399,0.180851,0.207823,0.204106,0.17794,0.166286,0.176253,0.1851,0.193445,0.163886,0.191284,0.162218,0.187498,0.210619,0.166766,0.178438,0.178244,0.176011,0.193154,0.138111,0.171991,0.171319,0.191091,0.166982,0.146541
-28.2452,0.188294,0.193488,0.191924,0.200797,0.179674,0.185875,0.215789,0.209046,0.18734,0.173447,0.176243,0.190326,0.197888,0.167713,0.195963,0.167958,0.189058,0.213873,0.176216,0.183579,0.185351,0.174426,0.198415,0.148126,0.175429,0.171316,0.192801,0.168778,0.153106
-27.7452,0.193596,0.200638,0.196092,0.205929,0.181067,0.188416,0.222561,0.212199,0.194123,0.17738,0.175449,0.193618,0.200653,0.170467,0.19979,0.173137,0.191259,0.215626,0.18378,0.185805,0.190133,0.173393,0.201194,0.157971,0.179716,0.170912,0.195718,0.169675,0.159454
-27.2452,0.197074,0.204958,0.19883,0.21091,0.180069,0.18963,0.225489,0.213754,0.19512,0.177183,0.17439,0.196058,0.201287,0.171359,0.200865,0.177413,0.194201,0.216433,0.186697,0.185885,0.191702,0.170334,0.201679,0.16612,0.183534,0.170723,0.199752,0.169572,0.165104
-26.7452,0.19859,0.204039,0.199057,0.214733,0.177432,0.189877,0.222211,0.212818,0.189847,0.173295,0.172232,0.198484,0.200128,0.17159,0.197799,0.178896,0.195589,0.215976,0.184534,0.183864,0.19028,0.169298,0.200316,0.171383,0.185313,0.169848,0.20328,0.168089,0.168814
-26.2452,0.200078,0.198631,0.197542,0.216394,0.174612,0.189763,0.213513,0.208305,0.180046,0.167931,0.170129,0.200711,0.197853,0.173243,0.192458,0.176479,0.192559,0.214323,0.179836,0.181678,0.187179,0.169072,0.197751,0.173431,0.182643,0.168981,0.205674,0.166475,0.169477
-25.7452,0.201221,0.192568,0.196947,0.216368,0.174498,0.188916,0.205329,0.201831,0.171019,0.165647,0.171397,0.203618,0.195746,0.179402,0.189472,0.173901,0.187001,0.212701,0.176853,0.182987,0.184723,0.169192,0.196536,0.174476,0.177686,0.170382,0.208269,0.167939,0.16837
-25.2452,0.20407,0.191451,0.201862,0.216968,0.179538,0.188216,0.20621,0.197673,0.172143,0.171386,0.180344,0.208412,0.195809,0.191317,0.193796,0.175744,0.183967,0.213826,0.179877,0.189519,0.185015,0.173749,0.198372,0.177405,0.176028,0.17697,0.213028,0.175661,0.167606
-24.7452,0.212153,0.199672,0.215658,0.222191,0.191719,0.19263,0.221313,0.202384,0.188049,0.187284,0.197692,0.217052,0.200334,0.207685,0.206731,0.185465,0.189603,0.220263,0.189911,0.20122,0.190993,0.184165,0.205113,0.185983,0.182047,0.189339,0.2221,0.191034,0.171541
-24.2452,0.230276,0.219515,0.240356,0.235825,0.212383,0.20817,0.25052,0.220201,0.218012,0.212912,0.223357,0.232474,0.212995,0.227107,0.228707,0.205223,0.207704,0.235211,0.208072,0.218964,0.206649,0.203762,0.220091,0.204591,0.199117,0.208173,0.237953,0.214273,0.185078
-23.7452,0.261341,0.249941,0.275708,0.260454,0.242141,0.237589,0.28905,0.251702,0.258016,0.2474,0.256135,0.257014,0.236301,0.250941,0.259626,0.234978,0.23785,0.259645,0.234553,0.244213,0.233289,0.23276,0.245924,0.235621,0.226733,0.234302,0.262632,0.244684,0.210832
-23.2452,0.305844,0.289045,0.320416,0.296411,0.280725,0.279389,0.33145,0.294571,0.304066,0.28936,0.294828,0.291519,0.27062,0.283284,0.299418,0.273534,0.277686,0.292237,0.270559,0.27845,0.270035,0.268747,0.283593,0.278577,0.263111,0.268604,0.297072,0.282142,0.24919
-22.7452,0.362476,0.336595,0.374413,0.343212,0.327895,0.330298,0.376564,0.346364,0.356975,0.339045,0.340396,0.337175,0.315537,0.328262,0.348964,0.320772,0.326049,0.332258,0.317581,0.323778,0.315765,0.312127,0.332897,0.331514,0.30839,0.311801,0.341665,0.328001,0.299485
-22.2452,0.42385,0.389145,0.43302,0.39615,0.378827,0.383301,0.42202,0.401371,0.413555,0.392136,0.389449,0.390838,0.365451,0.383482,0.403741,0.372059,0.379079,0.375528,0.370802,0.37637,0.365282,0.359497,0.387643,0.387736,0.357717,0.358968,0.392018,0.378894,0.356282
-21.7452,0.48278,0.44211,0.490611,0.447231,0.428455,0.433143,0.467648,0.453794,0.469768,0.442996,0.438822,0.446037,0.414682,0.441884,0.458435,0.421697,0.431699,0.418514,0.423569,0.430942,0.414462,0.406952,0.440992,0.440967,0.406529,0.405174,0.442477,0.430394,0.413056
-21.2452,0.534031,0.489187,0.541055,0.490449,0.473339,0.475518,0.511536,0.497982,0.521144,0.487167,0.485954,0.495902,0.459086,0.495092,0.507578,0.464332,0.478763,0.457911,0.469241,0.482396,0.459127,0.450423,0.488213,0.48782,0.450008,0.446515,0.487769,0.476985,0.463276
-20.7452,0.574272,0.526049,0.579889,0.522358,0.511015,0.507515,0.549688,0.53176,0.563335,0.521984,0.528233,0.535026,0.49577,0.5369,0.545056,0.49648,0.514366,0.490133,0.503756,0.52625,0.495529,0.483267,0.525664,0.526213,0.484029,0.48128,0.523287,0.51433,0.502164
-20.2452,0.600771,0.550032,0.605184,0.541113,0.538871,0.527988,0.576843,0.554399,0.593622,0.545022,0.560097,0.560971,0.522723,0.562651,0.567224,0.516691,0.534618,0.512258,0.524787,0.557193,0.520886,0.502441,0.550924,0.553703,0.507716,0.506688,0.545988,0.539359,0.527006
-19.7452,0.611645,0.561857,0.616454,0.549871,0.554559,0.537012,0.588907,0.56704,0.610118,0.554489,0.578168,0.573511,0.537885,0.570701,0.57377,0.525126,0.54076,0.52328,0.532766,0.571698,0.534513,0.508002,0.563121,0.56839,0.520376,0.520559,0.555263,0.551519,0.536893
-19.2452,0.607074,0.563066,0.614556,0.549093,0.555816,0.536049,0.585836,0.571196,0.612133,0.548985,0.579254,0.57368,0.539626,0.563332,0.567621,0.522458,0.53601,0.523492,0.529316,0.56814,0.536198,0.502392,0.5613,0.569416,0.522284,0.522277,0.552977,0.550826,0.532344
-18.7452,0.590644,0.554498,0.599488,0.540508,0.543986,0.524316,0.569268,0.567613,0.601117,0.529664,0.564771,0.561494,0.528263,0.546482,0.553026,0.510361,0.525485,0.514495,0.516116,0.548736,0.526638,0.491431,0.547938,0.557365,0.514947,0.512346,0.543178,0.539267,0.51493
-18.2452,0.567968,0.537637,0.573927,0.52596,0.52284,0.502151,0.545217,0.559503,0.583066,0.501499,0.540477,0.540231,0.506305,0.530424,0.535061,0.492227,0.514163,0.499015,0.496163,0.520405,0.507594,0.480021,0.528075,0.535359,0.501084,0.49568,0.531408,0.521232,0.489515
-17.7452,0.546413,0.515781,0.545451,0.510108,0.499059,0.475046,0.520877,0.552463,0.568415,0.471991,0.51299,0.517643,0.479332,0.524644,0.521063,0.474435,0.507256,0.481618,0.47531,0.492804,0.482725,0.474422,0.510478,0.508862,0.488184,0.476606,0.524082,0.50396,0.465508
-17.2452,0.530466,0.493982,0.521516,0.499917,0.479376,0.452327,0.50024,0.552308,0.564224,0.447956,0.489411,0.500008,0.453837,0.532605,0.515574,0.461759,0.508982,0.467049,0.459517,0.474403,0.45705,0.477764,0.502643,0.485084,0.481615,0.458232,0.524795,0.493233,0.450329
-16.7452,0.519301,0.474901,0.504617,0.496914,0.464998,0.440945,0.483849,0.559203,0.567108,0.431914,0.47139,0.489423,0.433187,0.549688,0.515774,0.454337,0.517277,0.456993,0.449781,0.466023,0.433219,0.486423,0.504743,0.46839,0.480782,0.439695,0.530673,0.48902,0.444252
-16.2452,0.508982,0.459155,0.491408,0.499213,0.453346,0.440725,0.468772,0.567551,0.565806,0.423134,0.457769,0.481594,0.417464,0.563889,0.514673,0.449943,0.524191,0.450205,0.442565,0.461399,0.412262,0.491592,0.510552,0.457558,0.479393,0.417397,0.533813,0.486661,0.441566
-15.7452,0.494993,0.447779,0.478206,0.502005,0.440451,0.447646,0.45462,0.568845,0.550573,0.420295,0.446557,0.47154,0.405901,0.563818,0.508291,0.446563,0.521239,0.444553,0.43374,0.453631,0.396001,0.485367,0.51133,0.449655,0.470513,0.392223,0.527471,0.481409,0.436221
-15.2452,0.478452,0.443693,0.466757,0.504191,0.427183,0.459257,0.445491,0.5611,0.522244,0.423827,0.438993,0.46009,0.399119,0.548891,0.501894,0.446964,0.507992,0.441295,0.42507,0.443993,0.388714,0.470396,0.504584,0.443117,0.45522,0.369907,0.514239,0.475243,0.429233
-14.7452,0.466395,0.451561,0.464786,0.509865,0.420158,0.477957,0.447613,0.550934,0.491269,0.435573,0.440221,0.453475,0.399526,0.528604,0.50661,0.456962,0.495058,0.445033,0.424345,0.442087,0.396027,0.458527,0.495847,0.441934,0.442773,0.358905,0.505055,0.476037,0.42801
-14.2452,0.46375,0.471837,0.476091,0.521715,0.423684,0.505047,0.462374,0.546349,0.466184,0.454868,0.45217,0.455435,0.407212,0.514138,0.526733,0.478068,0.493001,0.458172,0.434916,0.455461,0.418112,0.459769,0.490732,0.449673,0.440663,0.361429,0.508851,0.488513,0.436845
-13.7452,0.470226,0.497997,0.495727,0.537334,0.436204,0.53588,0.483865,0.550574,0.448096,0.476816,0.471194,0.46429,0.418705,0.510637,0.556608,0.505834,0.504782,0.476587,0.451726,0.481605,0.44676,0.473782,0.490586,0.464032,0.448979,0.372796,0.52398,0.509525,0.452707
-13.2452,0.479488,0.518979,0.514064,0.549546,0.449771,0.560122,0.501151,0.557324,0.43319,0.494972,0.487581,0.472549,0.42872,0.513438,0.583052,0.530245,0.522266,0.49145,0.464621,0.50867,0.469182,0.489204,0.490795,0.47801,0.46019,0.383805,0.539269,0.527975,0.466952
-12.7452,0.483773,0.525543,0.521401,0.549786,0.455797,0.566771,0.504451,0.55779,0.417576,0.503914,0.492757,0.47348,0.432877,0.513916,0.592223,0.541063,0.531885,0.494435,0.464638,0.52286,0.474393,0.493726,0.484972,0.483376,0.465219,0.387557,0.541842,0.532925,0.470898
-12.2452,0.478347,0.513902,0.514751,0.534618,0.450299,0.550949,0.491164,0.54581,0.400864,0.500939,0.483923,0.463949,0.428547,0.505482,0.576989,0.531709,0.524381,0.481652,0.449899,0.516321,0.459686,0.481278,0.46991,0.475972,0.459031,0.382146,0.525141,0.519805,0.460541
-11.7452,0.463551,0.488939,0.49804,0.508998,0.436349,0.517822,0.467449,0.521542,0.38708,0.48775,0.465829,0.447392,0.416407,0.486201,0.540415,0.502585,0.500231,0.455153,0.425509,0.491373,0.432358,0.456032,0.447325,0.45847,0.442853,0.370443,0.492868,0.492993,0.439644
-11.2452,0.447752,0.464552,0.480742,0.485769,0.424229,0.483583,0.446572,0.495619,0.383506,0.472534,0.450532,0.433639,0.403719,0.462908,0.497473,0.464983,0.471775,0.42479,0.402785,0.459663,0.407145,0.431014,0.426911,0.442204,0.42675,0.361121,0.458592,0.465539,0.42002
-10.7452,0.445598,0.457059,0.475976,0.480579,0.426103,0.467212,0.44348,0.484123,0.400124,0.470195,0.451235,0.435968,0.403412,0.449973,0.469332,0.437954,0.45708,0.407932,0.39577,0.438835,0.399615,0.421673,0.423162,0.443515,0.425391,0.36684,0.441173,0.45266,0.417229
