Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-14.3111,0.192944,0.332221,0.301006,0.479657,0.258604,0.314012,-nan,0.283936,0.269403,0.411998,0.398604,0.385281,0.293516,0.238356,0.302023,0.38552,-nan,0.378556,0.344739,0.285413,0.321511,0.296538,0.263794,-nan,0.272938,0.247834,0.272594,0.250216,0.17616
-13.8111,0.203837,0.315931,0.292421,0.455027,0.25043,0.302328,-nan,0.276132,0.281184,0.346754,0.328212,0.348958,0.293475,-nan,0.299044,0.376386,-nan,-nan,0.323664,-nan,0.33211,0.308744,0.274709,-nan,0.28554,0.250085,0.272771,0.25599,0.178541
-13.3111,0.226406,0.301853,0.275949,0.410536,0.223603,0.294582,-nan,0.263293,0.28918,0.275313,0.283176,0.321946,0.291642,-nan,0.283855,0.348412,-nan,-nan,0.303391,-nan,0.306391,0.309151,0.270968,-nan,0.289385,0.243893,0.269992,0.25149,0.181514
-12.8111,0.255734,0.29908,0.266641,0.375761,0.212162,0.29628,-nan,0.258725,0.297629,0.232116,0.259009,0.305822,0.293309,-nan,0.273095,0.321884,-nan,-nan,0.292857,-nan,0.291144,0.320699,0.278092,-nan,0.30071,0.247081,0.274712,0.25562,0.186844
-12.3111,0.289422,0.306085,0.268547,0.351995,0.217108,0.30599,-nan,0.263325,0.310289,0.214218,0.24872,0.301304,0.301136,-nan,0.271618,0.302535,-nan,-nan,0.288429,-nan,0.2898,0.345569,0.293402,-nan,0.324855,0.26106,0.287234,0.269945,0.196507
-11.8111,0.331037,0.327261,0.283656,0.340595,0.2431,0.32848,-nan,0.28057,0.329164,0.223329,0.256905,0.312155,0.317122,-nan,0.288251,0.292278,0.301365,-nan,0.294813,-nan,0.299645,0.374449,0.318353,-nan,0.364932,0.288165,0.311062,0.298935,0.212635
-11.3111,0.373565,0.366677,0.317685,0.359869,0.298302,0.367679,-nan,0.316493,0.354989,0.274497,0.291109,0.345318,0.345804,-nan,0.333837,0.308255,0.304852,-nan,0.320219,-nan,0.330029,0.407692,0.354347,-nan,0.414282,0.33071,0.343997,0.345161,0.235236
-10.8111,0.414266,0.416756,0.36169,0.400462,0.366684,0.417575,-nan,0.364522,0.388259,0.337869,0.339724,0.393043,0.378139,0.395156,0.396636,0.345437,0.321226,0.412276,0.360754,0.445733,0.368974,0.435816,0.394605,0.425361,0.456358,0.377663,0.376685,0.397246,0.261361
-10.3111,0.45574,0.4661,0.399452,0.444673,0.428732,0.469784,0.484572,0.412784,0.425283,0.383451,0.390139,0.442646,0.406886,0.429456,0.451775,0.386681,0.342936,0.429176,0.409973,0.479481,0.405913,0.453658,0.436227,0.446806,0.482202,0.418576,0.402957,0.440969,0.285783
-9.81114,0.492306,0.504796,0.423673,0.478281,0.470133,0.510832,0.488341,0.451351,0.460219,0.401906,0.431666,0.482002,0.432174,0.454585,0.480306,0.415692,0.360364,0.448013,0.45266,0.495229,0.434582,0.46628,0.472154,0.459375,0.494011,0.44632,0.420864,0.467554,0.303393
