Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-14.4637,0.281849,0.282802,0.261081,0.305718,0.253462,0.353933,0.338246,0.33759,0.246793,0.196701,0.222068,0.329982,0.319128,0.294812,0.261673,0.280566,0.345874,0.41218,0.283948,0.266071,0.29042,0.290906,0.292572,0.35908,0.327442,0.25071,0.285307,0.294433,0.213758
-13.9637,0.309737,0.311293,0.279257,0.329226,0.270609,0.362723,0.362646,0.348358,0.267414,0.226462,0.247796,0.347105,0.334264,0.325134,0.28744,0.285382,0.345795,0.414829,0.307664,0.280123,0.3077,0.312463,0.310149,0.370712,0.345333,0.281161,0.306131,0.311421,0.220727
-13.4637,0.346123,0.345867,0.303006,0.365044,0.303509,0.37961,0.388966,0.361427,0.299954,0.264144,0.278645,0.371328,0.355088,0.359641,0.318394,0.298344,0.353289,0.416378,0.335646,0.301403,0.331238,0.343046,0.33347,0.3866,0.37157,0.312847,0.330529,0.334151,0.232375
-12.9637,0.390359,0.387664,0.333344,0.406905,0.345951,0.404984,0.416837,0.378073,0.343769,0.310764,0.315664,0.400793,0.387025,0.393336,0.356524,0.319928,0.368129,0.418571,0.367773,0.330961,0.360986,0.378638,0.365163,0.408494,0.403802,0.347738,0.356577,0.363843,0.248841
-12.4637,0.449528,0.446332,0.377975,0.461114,0.405264,0.448667,0.452377,0.403404,0.405474,0.377799,0.370601,0.444384,0.440027,0.434376,0.411483,0.358197,0.394378,0.423895,0.415409,0.377126,0.404041,0.425855,0.41474,0.439207,0.448963,0.394601,0.392119,0.406408,0.274533
-11.9637,0.495779,0.495043,0.418473,0.499537,0.45288,0.491588,0.474384,0.429016,0.458177,0.433482,0.422749,0.48478,0.491686,0.458714,0.458387,0.40055,0.423903,0.430975,0.457433,0.426409,0.440963,0.458427,0.462059,0.465028,0.486281,0.431487,0.419538,0.442641,0.301415
-11.4637,0.518424,0.521358,0.444069,0.512308,0.470435,0.515036,0.478459,0.447854,0.484332,0.463373,0.461626,0.514461,0.522164,0.464157,0.487357,0.429262,0.444285,0.434913,0.485325,0.466034,0.458415,0.46855,0.489409,0.474136,0.501795,0.453345,0.434757,0.46331,0.32009
-10.9637,0.521712,0.524517,0.453925,0.507724,0.462019,0.512455,0.470451,0.456815,0.483299,0.467791,0.482381,0.526306,0.518988,0.459312,0.495985,0.436163,0.4452,0.430229,0.496184,0.486076,0.455597,0.464543,0.490583,0.464864,0.496835,0.45939,0.439734,0.467418,0.325782
-10.4637,0.514705,0.510209,0.450319,0.494826,0.441216,0.491899,0.456273,0.455188,0.464545,0.455659,0.482235,0.517658,0.486247,0.446598,0.486427,0.421723,0.428057,0.415878,0.488196,0.483048,0.439246,0.45599,0.470368,0.44305,0.476318,0.451134,0.435635,0.462103,0.317075
-9.96372,0.505956,0.490281,0.439691,0.477797,0.420982,0.471065,0.445669,0.444043,0.440645,0.438637,0.46628,0.494178,0.440338,0.42885,0.465226,0.398633,0.402888,0.395648,0.467768,0.460794,0.419497,0.448952,0.441744,0.417739,0.451027,0.434081,0.423759,0.451622,0.296886
