Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-26.8123,0.204353,0.215819,0.225716,0.22185,0.240222,0.23348,0.231177,0.219832,0.216551,0.202786,0.201854,0.200128,0.183475,0.202026,0.208022,0.195537,0.200789,0.211181,0.178618,0.201554,0.18485,0.182822,0.216415,0.234038,0.192165,0.208621,0.209098,0.186148,0.16689
-26.3123,0.20545,0.213414,0.224452,0.223163,0.232235,0.225298,0.224747,0.220562,0.214278,0.198428,0.198821,0.201118,0.185721,0.199873,0.206713,0.191917,0.197512,0.22347,0.181646,0.200447,0.182845,0.184136,0.211839,0.221853,0.189502,0.20832,0.204384,0.183935,0.15837
-25.8123,0.190014,0.186942,0.201229,0.214415,0.201842,0.195563,0.20282,0.208169,0.189927,0.172992,0.17882,0.181228,0.172181,0.173324,0.18496,0.163508,0.178951,0.231044,0.164865,0.18091,0.15696,0.166216,0.186814,0.191491,0.172177,0.185557,0.177438,0.157314,0.144508
-25.3123,0.180101,0.169337,0.183438,0.207311,0.186925,0.178584,0.182782,0.199124,0.172283,0.157075,0.16654,0.16536,0.161886,0.153498,0.169928,0.143959,0.161318,0.22495,0.153303,0.167182,0.142527,0.152936,0.170125,0.172384,0.156586,0.170348,0.159378,0.139952,0.138789
-24.8123,0.175975,0.159582,0.172556,0.202433,0.181588,0.172408,0.168786,0.194952,0.159376,0.148911,0.159387,0.156516,0.155123,0.145132,0.163089,0.135922,0.146795,0.218374,0.146992,0.1595,0.137757,0.146879,0.160565,0.163639,0.146542,0.163294,0.149342,0.134148,0.140984
-24.3123,0.177734,0.15459,0.169439,0.199189,0.181098,0.172474,0.164378,0.195066,0.15044,0.14314,0.154417,0.15301,0.152198,0.144281,0.161952,0.135968,0.136452,0.216341,0.144757,0.1552,0.137928,0.148753,0.155561,0.161978,0.140842,0.162847,0.144337,0.136739,0.145324
-23.8123,0.184219,0.156148,0.172455,0.197862,0.181791,0.177513,0.172582,0.194228,0.147199,0.13837,0.151487,0.154183,0.15139,0.147826,0.166142,0.140624,0.130887,0.217657,0.146015,0.153478,0.140891,0.157569,0.153511,0.162417,0.139551,0.165762,0.143543,0.14623,0.149859
-23.3123,0.191194,0.167031,0.178206,0.202316,0.180986,0.186448,0.187523,0.186399,0.150943,0.139041,0.152992,0.159926,0.150409,0.155881,0.173644,0.147868,0.132693,0.219666,0.149396,0.157204,0.144773,0.170377,0.154456,0.163113,0.143232,0.170012,0.147461,0.159135,0.1607
-22.8123,0.19899,0.187245,0.187889,0.214511,0.182586,0.200209,0.20478,0.176617,0.162905,0.147434,0.160896,0.172676,0.151889,0.167519,0.184214,0.160602,0.140339,0.223025,0.157746,0.167915,0.15269,0.188098,0.161219,0.169565,0.153485,0.178655,0.156664,0.176285,0.180146
-22.3123,0.212909,0.218117,0.205594,0.237815,0.194195,0.222903,0.228398,0.175223,0.18813,0.167817,0.180533,0.197745,0.162572,0.185836,0.201973,0.182664,0.155554,0.23136,0.175378,0.19002,0.170654,0.21303,0.179089,0.188077,0.175248,0.196433,0.175225,0.201107,0.210825
-21.8123,0.242439,0.261838,0.237705,0.276139,0.222538,0.258857,0.264624,0.191728,0.230083,0.204697,0.217741,0.240192,0.189259,0.217705,0.232213,0.217454,0.183558,0.249037,0.206915,0.227217,0.202344,0.246351,0.213365,0.223007,0.21412,0.22784,0.208892,0.237713,0.2565
-21.3123,0.290621,0.311297,0.283548,0.322058,0.266056,0.303279,0.310977,0.231743,0.281383,0.252841,0.269152,0.295193,0.232843,0.260797,0.272695,0.259753,0.224492,0.277066,0.250824,0.273994,0.243618,0.280765,0.261003,0.269086,0.266086,0.267785,0.255761,0.281685,0.307035
-20.8123,0.348395,0.358167,0.333049,0.363114,0.313664,0.346778,0.358854,0.285048,0.329383,0.301047,0.322535,0.350574,0.284342,0.305222,0.315469,0.299392,0.271612,0.308822,0.297426,0.319648,0.285456,0.309305,0.310979,0.313055,0.318838,0.305039,0.30627,0.325066,0.349977
-20.3123,0.401984,0.397124,0.375152,0.392223,0.354332,0.381889,0.39818,0.335031,0.363969,0.339976,0.365231,0.396366,0.331908,0.340467,0.351726,0.328557,0.314012,0.33627,0.337065,0.355009,0.319739,0.329677,0.352673,0.345621,0.360891,0.330748,0.34876,0.361561,0.37903
-19.8123,0.439494,0.425093,0.402392,0.407958,0.383922,0.405542,0.422784,0.372231,0.382103,0.365287,0.389656,0.428159,0.367544,0.359685,0.375896,0.344371,0.342203,0.354969,0.364148,0.37664,0.344031,0.344679,0.380476,0.365865,0.386979,0.343319,0.375126,0.387564,0.3915
-19.3123,0.45692,0.440032,0.41326,0.412669,0.402712,0.417265,0.432549,0.394717,0.38546,0.376901,0.394645,0.444324,0.386767,0.364745,0.387367,0.347625,0.352208,0.363605,0.375903,0.385446,0.357746,0.356628,0.393508,0.377046,0.398141,0.347292,0.383589,0.401308,0.388157
-18.8123,0.458854,0.44249,0.412003,0.409583,0.411244,0.417284,0.429327,0.405046,0.378212,0.376999,0.385565,0.445901,0.389432,0.364765,0.388602,0.341161,0.348626,0.364263,0.374498,0.384774,0.360531,0.36382,0.394409,0.381396,0.398845,0.347988,0.38017,0.40295,0.373139
-18.3123,0.452059,0.436391,0.403983,0.401152,0.409933,0.407866,0.415647,0.40707,0.366313,0.370373,0.369781,0.436574,0.380425,0.36539,0.38397,0.33074,0.340102,0.36087,0.364927,0.378139,0.356151,0.364449,0.388468,0.380704,0.39316,0.34844,0.372967,0.395644,0.351302
-17.8123,0.442261,0.426219,0.393908,0.390783,0.401037,0.394588,0.397337,0.403022,0.355155,0.36177,0.3536,0.42292,0.367126,0.366628,0.377559,0.321789,0.331943,0.355892,0.351874,0.368974,0.349185,0.359775,0.38115,0.377067,0.384004,0.349259,0.365535,0.384411,0.32766
-17.3123,0.433579,0.415071,0.38558,0.382642,0.389389,0.384248,0.382939,0.395514,0.347913,0.354923,0.341393,0.411972,0.356667,0.366479,0.372424,0.317161,0.326698,0.350251,0.340027,0.361177,0.344949,0.35424,0.376278,0.372525,0.374561,0.351469,0.359344,0.375796,0.307137
-16.8123,0.428829,0.406713,0.380926,0.378597,0.380359,0.379827,0.376367,0.387619,0.345726,0.352566,0.335114,0.408568,0.352287,0.365741,0.370529,0.318175,0.325546,0.346843,0.333053,0.35807,0.345348,0.352624,0.374788,0.368128,0.368312,0.355748,0.355049,0.373522,0.29295
-16.3123,0.428828,0.403766,0.37993,0.377733,0.377479,0.381917,0.37711,0.384359,0.349286,0.354,0.337114,0.412986,0.355798,0.367374,0.373496,0.3234,0.329441,0.34728,0.333117,0.361687,0.349775,0.357461,0.37668,0.365618,0.367498,0.362873,0.353759,0.378866,0.286809
-15.8123,0.433534,0.407267,0.382639,0.380133,0.381178,0.388739,0.382205,0.388117,0.359121,0.359208,0.34636,0.421545,0.364437,0.373413,0.380222,0.331279,0.33782,0.351995,0.33987,0.370629,0.358152,0.367927,0.38167,0.366091,0.37273,0.373569,0.35756,0.391148,0.289072
-15.3123,0.442579,0.418559,0.389609,0.386275,0.390875,0.399242,0.389469,0.399068,0.375488,0.368322,0.361846,0.430504,0.3757,0.384089,0.38885,0.341598,0.350087,0.361091,0.351923,0.381452,0.368714,0.382479,0.388924,0.369899,0.383038,0.387077,0.366289,0.40737,0.298786
-14.8123,0.453379,0.434023,0.399666,0.394918,0.40279,0.41133,0.398208,0.413235,0.393742,0.379993,0.378913,0.437704,0.385556,0.396557,0.396046,0.352937,0.364347,0.37135,0.365712,0.391429,0.379774,0.397448,0.398617,0.375936,0.395215,0.401148,0.378583,0.423951,0.313663
-14.3123,0.462444,0.447753,0.409086,0.401985,0.412275,0.421391,0.407262,0.426344,0.406979,0.39221,0.392107,0.442719,0.391198,0.408426,0.400226,0.363914,0.377741,0.379952,0.377488,0.398079,0.389513,0.408484,0.408947,0.38145,0.404882,0.413276,0.391643,0.437087,0.330686
-13.8123,0.466316,0.45511,0.413138,0.403806,0.415755,0.427154,0.415307,0.435495,0.411308,0.402935,0.399788,0.444233,0.393669,0.416404,0.400274,0.373448,0.388143,0.384552,0.384631,0.39991,0.393537,0.412814,0.416873,0.384343,0.408477,0.421436,0.401407,0.44311,0.346928
-13.3123,0.464554,0.454657,0.412075,0.400199,0.411501,0.429653,0.423086,0.440552,0.407011,0.411922,0.402983,0.442426,0.394527,0.420091,0.395672,0.381486,0.395414,0.385943,0.386374,0.397432,0.391598,0.411452,0.422788,0.386189,0.40757,0.424892,0.406015,0.443026,0.360282
-12.8123,0.460496,0.451747,0.409641,0.395671,0.401669,0.431967,0.431497,0.4452,0.39931,0.420009,0.40617,0.43742,0.396488,0.421596,0.388867,0.389468,0.400691,0.386138,0.385075,0.393262,0.386183,0.408865,0.426827,0.389609,0.40689,0.425752,0.405594,0.440071,0.370454
-12.3123,0.456957,0.451326,0.408844,0.39714,0.39271,0.436166,0.439402,0.450604,0.394369,0.426982,0.411233,0.431501,0.400621,0.423519,0.382597,0.397895,0.405479,0.38792,0.384344,0.390227,0.380335,0.410215,0.429976,0.394991,0.410459,0.426177,0.403695,0.438124,0.377962
-11.8123,0.456609,0.454695,0.411373,0.406404,0.390737,0.442878,0.447149,0.458265,0.396044,0.433214,0.418318,0.429936,0.407024,0.429097,0.381094,0.406429,0.41225,0.393097,0.386372,0.389847,0.378841,0.418063,0.435116,0.402079,0.419296,0.42776,0.404126,0.44041,0.385074
-11.3123,0.460531,0.460854,0.414814,0.422574,0.398797,0.451788,0.454948,0.4686,0.404136,0.440212,0.425758,0.433722,0.416169,0.438051,0.385138,0.414698,0.420998,0.401533,0.39118,0.393039,0.381514,0.430023,0.442915,0.410365,0.431015,0.432549,0.408207,0.447012,0.393466
-10.8123,0.468049,0.467781,0.419911,0.441468,0.416299,0.462694,0.464621,0.481484,0.416348,0.44873,0.432596,0.442578,0.428457,0.449099,0.39339,0.423618,0.4317,0.413844,0.397855,0.400134,0.386916,0.442866,0.454061,0.421418,0.444085,0.441491,0.416387,0.457387,0.403241
-10.3123,0.47847,0.477028,0.429474,0.460808,0.438035,0.475815,0.474839,0.497506,0.430518,0.457933,0.438966,0.455339,0.442543,0.461652,0.405175,0.434665,0.443883,0.429893,0.406175,0.411035,0.394579,0.455557,0.468552,0.437134,0.457925,0.454778,0.427587,0.46981,0.414261
-9.81229,0.490356,0.489645,0.444691,0.480934,0.459478,0.491589,0.485761,0.51653,0.445722,0.467751,0.446925,0.471035,0.45739,0.475243,0.421334,0.44877,0.457242,0.448962,0.41711,0.424883,0.405437,0.467614,0.484496,0.456212,0.471644,0.470971,0.441027,0.481228,0.42634
-9.31229,0.501898,0.505662,0.463944,0.499613,0.476657,0.508049,0.496487,0.536789,0.4622,0.477392,0.456945,0.489243,0.472055,0.48828,0.440084,0.465583,0.471748,0.468516,0.429894,0.439153,0.419204,0.478618,0.500259,0.475282,0.483994,0.485882,0.455086,0.488996,0.438992
-8.81229,0.510465,0.523161,0.48231,0.514784,0.488192,0.522806,0.505809,0.555609,0.47963,0.487256,0.468067,0.505899,0.48451,0.500294,0.457226,0.483084,0.486369,0.486377,0.441474,0.450068,0.432454,0.487994,0.51522,0.491107,0.494672,0.496268,0.467318,0.493148,0.451516
-8.31229,0.514893,0.538885,0.494755,0.523426,0.496275,0.53344,0.513842,0.568025,0.496192,0.496007,0.47785,0.517721,0.492619,0.510796,0.470212,0.499125,0.499912,0.500645,0.450107,0.456806,0.441105,0.495753,0.528335,0.502346,0.505014,0.501355,0.476259,0.496139,0.462752
-7.81229,0.516952,0.551156,0.501398,0.528195,0.504177,0.541273,0.520254,0.573006,0.511533,0.506073,0.487205,0.524274,0.497805,0.520903,0.479448,0.513518,0.512482,0.51125,0.457005,0.463117,0.446129,0.504299,0.540251,0.511376,0.517751,0.503479,0.483032,0.502342,0.473268
-7.31229,0.521293,0.561092,0.506784,0.535336,0.516199,0.549245,0.527237,0.57433,0.527776,0.518574,0.499445,0.529989,0.503889,0.532314,0.490047,0.527001,0.525268,0.519565,0.46691,0.472895,0.453457,0.516403,0.550914,0.521797,0.534967,0.506708,0.490277,0.516849,0.485545
