Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-7.26446,0.488623,0.494353,0.515298,0.485725,0.474605,0.495619,0.562417,0.601472,0.504225,0.582459,0.498736,0.593806,0.526043,0.620299,0.456195,0.366918,0.471763,0.559694,0.529183,0.561718,0.419174,0.441613,0.399249,0.432921,0.422252,0.468275,0.537061,0.474718,0.352056,0.412169,0.432869,0.396334,0.447261,0.41049,0.536276,0.426235,0.471936,0.39103
-6.76446,0.532671,0.535207,0.54231,0.522636,0.498258,0.53139,0.575245,0.606264,0.52661,0.586264,0.531339,0.599782,0.548324,0.614898,0.514454,0.425275,0.508951,0.56634,0.532965,0.557647,0.449046,0.479917,0.422017,0.437847,0.454447,0.497383,0.536754,0.477138,0.357931,0.430053,0.448963,0.421406,0.491174,0.44562,0.556295,0.465035,0.489044,0.435654
-6.26446,0.571955,0.577076,0.571879,0.56297,0.529926,0.578101,0.593766,0.618657,0.555017,0.598865,0.563457,0.606206,0.574192,0.620256,0.568183,0.485785,0.548499,0.578776,0.546066,0.563904,0.484863,0.523377,0.443628,0.446955,0.49695,0.52757,0.545763,0.486352,0.3852,0.464395,0.470558,0.454387,0.533591,0.49619,0.581366,0.507754,0.513891,0.483307
-5.76446,0.600784,0.612586,0.596851,0.603588,0.563379,0.62305,0.616829,0.634892,0.582139,0.614501,0.589825,0.612701,0.601423,0.634038,0.612562,0.538578,0.584848,0.597321,0.564417,0.57967,0.518619,0.56358,0.459213,0.461056,0.537941,0.55455,0.561714,0.50075,0.421441,0.506984,0.493846,0.488594,0.568573,0.546368,0.605784,0.547076,0.54144,0.524698
-5.26446,0.616663,0.63773,0.61345,0.639259,0.594226,0.657798,0.638506,0.650692,0.602229,0.625774,0.606431,0.616279,0.62479,0.651316,0.644975,0.57757,0.612534,0.616434,0.583547,0.599227,0.543539,0.593927,0.464154,0.478434,0.568324,0.574801,0.57724,0.517703,0.457377,0.546839,0.515919,0.519097,0.59174,0.584856,0.625433,0.575447,0.566527,0.556677
-4.76446,0.620423,0.649069,0.618631,0.663791,0.618829,0.678838,0.651197,0.660201,0.612494,0.62864,0.610611,0.614197,0.637853,0.664377,0.66266,0.599665,0.628173,0.626026,0.599048,0.614069,0.555902,0.611603,0.457069,0.496299,0.584645,0.584377,0.584384,0.533538,0.486989,0.575103,0.535321,0.541722,0.602228,0.606287,0.636105,0.587617,0.58546,0.578787
-4.26446,0.615864,0.644801,0.611811,0.673328,0.635752,0.685281,0.652171,0.656939,0.612928,0.62353,0.603155,0.60515,0.637826,0.666521,0.664988,0.605378,0.629387,0.61857,0.606139,0.616743,0.556314,0.614955,0.442267,0.511328,0.588279,0.582607,0.579117,0.543237,0.50567,0.586483,0.550733,0.555021,0.602191,0.610608,0.635751,0.584636,0.596948,0.592346
-3.76446,0.605299,0.626338,0.595149,0.668357,0.642507,0.676211,0.64134,0.639454,0.603617,0.613523,0.585823,0.589628,0.626229,0.655273,0.65237,0.598188,0.615414,0.595352,0.600348,0.604322,0.547546,0.605677,0.427953,0.518872,0.581333,0.570965,0.564192,0.542272,0.510518,0.581205,0.558813,0.558813,0.592423,0.600004,0.625805,0.571332,0.598345,0.597422
-3.26446,0.588735,0.599056,0.573724,0.65275,0.635856,0.653721,0.620519,0.614628,0.5835,0.599849,0.560947,0.569397,0.605948,0.631192,0.629623,0.582521,0.590426,0.565024,0.582012,0.581963,0.532218,0.587156,0.419837,0.517562,0.565882,0.554851,0.545138,0.528424,0.502884,0.565958,0.55462,0.552785,0.574807,0.576974,0.61042,0.55425,0.587137,0.590772
-2.76446,0.56704,0.571094,0.553344,0.62893,0.616261,0.624229,0.592742,0.592941,0.552876,0.581389,0.533399,0.546952,0.579039,0.597526,0.604171,0.564077,0.560546,0.535829,0.556355,0.557864,0.511913,0.564075,0.416619,0.508229,0.544633,0.537623,0.52523,0.506068,0.486213,0.54823,0.53832,0.538806,0.552761,0.545373,0.593868,0.538357,0.56464,0.573341
-2.26446,0.542634,0.547361,0.53513,0.599386,0.587895,0.595609,0.560873,0.577739,0.516095,0.557119,0.50763,0.524018,0.546706,0.558829,0.581106,0.545397,0.533689,0.513014,0.532728,0.536076,0.489776,0.541633,0.416474,0.494357,0.520207,0.521202,0.50659,0.483571,0.465716,0.533582,0.515125,0.520852,0.529566,0.511148,0.5757,0.526494,0.537669,0.550197
-1.76446,0.520297,0.528665,0.516184,0.567017,0.558284,0.573231,0.528431,0.561231,0.483956,0.528382,0.48761,0.500944,0.513358,0.521453,0.561019,0.527869,0.514148,0.495456,0.517228,0.517189,0.469597,0.522787,0.416078,0.479639,0.495937,0.505377,0.489545,0.467185,0.446754,0.522299,0.490432,0.503375,0.508745,0.480032,0.551973,0.519203,0.512857,0.528016
-1.26446,0.504041,0.512393,0.496054,0.536946,0.534041,0.557839,0.499222,0.536988,0.465961,0.500687,0.474143,0.479917,0.4866,0.493943,0.544627,0.513022,0.499517,0.479992,0.504609,0.499801,0.455454,0.507943,0.413078,0.463744,0.475763,0.487519,0.474224,0.459537,0.431182,0.510695,0.467997,0.489598,0.490885,0.455526,0.523776,0.509601,0.493774,0.51106
-0.764459,0.489848,0.496369,0.477307,0.513682,0.515663,0.545657,0.475255,0.506796,0.458298,0.477443,0.464185,0.462448,0.469074,0.477002,0.530823,0.499537,0.485037,0.464693,0.489211,0.483287,0.446204,0.493915,0.407106,0.447364,0.459472,0.46754,0.459286,0.455727,0.41887,0.496358,0.447319,0.476759,0.474618,0.437032,0.496367,0.494602,0.47994,0.496713
-0.264459,0.474886,0.480897,0.46109,0.495706,0.501392,0.533098,0.453728,0.473474,0.45174,0.45721,0.454997,0.447978,0.458305,0.46642,0.520505,0.488144,0.467036,0.447624,0.466216,0.467883,0.437726,0.474634,0.396124,0.429991,0.443968,0.443968,0.441136,0.452624,0.407344,0.477484,0.426381,0.462941,0.460414,0.420561,0.474867,0.47221,0.471367,0.482527
0.235541,0.455141,0.466016,0.448678,0.480643,0.490746,0.517709,0.436598,0.44651,0.435708,0.436029,0.443781,0.435369,0.448049,0.457366,0.513446,0.480662,0.447511,0.429952,0.441879,0.450506,0.426217,0.449684,0.382961,0.414833,0.427509,0.42124,0.421064,0.4451,0.394468,0.458589,0.409482,0.449174,0.449385,0.403755,0.461221,0.448339,0.467696,0.468643
0.735541,0.432171,0.45139,0.437684,0.468493,0.482323,0.50358,0.426099,0.429128,0.413653,0.412888,0.429051,0.423077,0.435848,0.450323,0.507289,0.475967,0.429445,0.412314,0.426187,0.432077,0.409563,0.422917,0.369876,0.405532,0.409757,0.404239,0.40025,0.431926,0.380751,0.443767,0.399429,0.436458,0.44083,0.386638,0.450398,0.429036,0.465366,0.454694
1.23554,0.412692,0.43608,0.427665,0.460269,0.472519,0.492341,0.419709,0.418585,0.397325,0.393412,0.412501,0.41049,0.424005,0.445856,0.499982,0.470782,0.413798,0.396323,0.417345,0.416212,0.391273,0.398751,0.357402,0.399205,0.393116,0.390315,0.380813,0.414334,0.367209,0.432699,0.393317,0.424849,0.431225,0.371205,0.437276,0.412644,0.459697,0.440266
1.73554,0.393353,0.415755,0.414088,0.450157,0.452103,0.474487,0.408289,0.407244,0.382959,0.37613,0.391459,0.394452,0.410177,0.437333,0.486186,0.458506,0.396046,0.376652,0.407136,0.40082,0.367687,0.372776,0.340571,0.386861,0.374908,0.371559,0.359082,0.388966,0.350704,0.416629,0.380438,0.407912,0.413671,0.352076,0.415978,0.391097,0.442526,0.420123
2.23554,0.375639,0.392823,0.396379,0.436175,0.42037,0.445053,0.387034,0.391614,0.366914,0.361793,0.367999,0.376943,0.392826,0.422446,0.463746,0.436094,0.375738,0.353961,0.390988,0.385846,0.340458,0.347246,0.318611,0.364582,0.356882,0.347416,0.336592,0.360703,0.331583,0.392361,0.356323,0.384921,0.387515,0.32879,0.387822,0.36412,0.414589,0.394505
2.73554,0.35629,0.367662,0.373935,0.414141,0.381628,0.402594,0.356585,0.368638,0.343466,0.343666,0.343763,0.357334,0.368948,0.397878,0.432743,0.40528,0.351412,0.32856,0.365978,0.366052,0.311088,0.322527,0.29326,0.332541,0.336991,0.317483,0.313539,0.332063,0.310104,0.360417,0.321804,0.356813,0.356072,0.301855,0.355457,0.333847,0.379639,0.364132
3.23554,0.332262,0.341273,0.34747,0.384865,0.343808,0.354351,0.324601,0.340851,0.312651,0.317966,0.318619,0.336587,0.340386,0.369474,0.397556,0.372679,0.323505,0.301131,0.334382,0.340171,0.283026,0.299594,0.267842,0.297589,0.314474,0.286158,0.291245,0.306256,0.288439,0.325742,0.283606,0.324792,0.324838,0.274443,0.325259,0.303005,0.344727,0.332495
3.73554,0.307319,0.317261,0.321724,0.356559,0.31415,0.313689,0.299854,0.314567,0.282056,0.288766,0.29396,0.317752,0.313951,0.345733,0.36578,0.344738,0.29451,0.275481,0.302196,0.312955,0.262134,0.282581,0.245948,0.268723,0.292832,0.257247,0.271888,0.285776,0.271231,0.296178,0.250673,0.294018,0.300326,0.253548,0.304432,0.277068,0.317941,0.306757
4.23554,0.28809,0.299758,0.301673,0.335147,0.294542,0.287781,0.28522,0.295028,0.258374,0.264637,0.273805,0.303586,0.295856,0.329671,0.343502,0.327118,0.269025,0.254416,0.276058,0.291387,0.251338,0.271808,0.231671,0.251107,0.277138,0.233416,0.258474,0.272226,0.262034,0.276021,0.226547,0.269644,0.285373,0.242891,0.296115,0.26063,0.302151,0.292646
4.73554,0.281135,0.292588,0.291043,0.325046,0.285327,0.277098,0.279476,0.28684,0.246066,0.251939,0.262091,0.296992,0.287897,0.322442,0.333025,0.322097,0.25203,0.23948,0.261658,0.279486,0.251135,0.268987,0.22801,0.245485,0.273627,0.219266,0.254147,0.267634,0.26188,0.266755,0.212151,0.256095,0.281051,0.242475,0.299759,0.257928,0.296541,0.293058
5.23554,0.289912,0.297255,0.292313,0.327446,0.28712,0.280911,0.2803,0.290214,0.248558,0.252208,0.262196,0.298422,0.289252,0.32343,0.334409,0.32763,0.244532,0.232676,0.26127,0.279282,0.25908,0.27535,0.235799,0.250597,0.283308,0.217168,0.257436,0.273142,0.2701,0.26692,0.208542,0.255635,0.287066,0.251928,0.312025,0.26785,0.298284,0.303879
5.73554,0.313409,0.312055,0.30438,0.338471,0.299498,0.295399,0.285954,0.302587,0.265172,0.263991,0.273635,0.305875,0.297992,0.330661,0.344087,0.338297,0.245901,0.236358,0.27126,0.290184,0.271752,0.288763,0.253085,0.264837,0.300892,0.227646,0.264468,0.287248,0.284223,0.273259,0.215032,0.266174,0.302011,0.268725,0.329722,0.28521,0.305114,0.319493
6.23554,0.345307,0.331957,0.321349,0.352714,0.317979,0.314768,0.294269,0.319096,0.290056,0.283008,0.290585,0.31494,0.310639,0.341609,0.356608,0.347661,0.253339,0.250345,0.286287,0.307129,0.285692,0.305732,0.27397,0.284811,0.31802,0.246166,0.272394,0.304409,0.300813,0.282248,0.227587,0.28243,0.323086,0.28892,0.350145,0.303943,0.313851,0.336211
6.73554,0.374516,0.348943,0.33744,0.364578,0.336087,0.33227,0.302805,0.33359,0.314224,0.302255,0.306387,0.31925,0.322035,0.352554,0.364895,0.350258,0.262009,0.269896,0.300647,0.323715,0.296184,0.320369,0.29072,0.305374,0.328292,0.264728,0.278967,0.318584,0.315157,0.290695,0.240587,0.297942,0.34478,0.306525,0.368642,0.319758,0.320727,0.350485
7.23554,0.391125,0.356826,0.346345,0.369409,0.348255,0.341832,0.308893,0.341563,0.330232,0.314654,0.316007,0.315373,0.327452,0.358727,0.364066,0.344105,0.266906,0.287066,0.309126,0.333911,0.299707,0.325579,0.298141,0.319982,0.328898,0.276048,0.283923,0.325807,0.321641,0.296492,0.250125,0.3077,0.359425,0.316027,0.378996,0.330229,0.322733,0.357491
7.73554,0.390069,0.354477,0.345304,0.364043,0.350227,0.340495,0.309355,0.340598,0.333759,0.316777,0.316948,0.304258,0.324241,0.356042,0.353886,0.329506,0.265364,0.293674,0.308667,0.3323,0.294109,0.318559,0.294418,0.32329,0.320717,0.278042,0.285586,0.325544,0.316393,0.297987,0.254639,0.308905,0.361452,0.314623,0.376271,0.332749,0.317402,0.353365
8.23554,0.372089,0.343091,0.335875,0.347129,0.339722,0.328571,0.300839,0.329622,0.325217,0.307803,0.307291,0.289469,0.313851,0.342318,0.335094,0.308603,0.257018,0.285596,0.299485,0.319091,0.280436,0.301506,0.28094,0.312454,0.306558,0.271946,0.282234,0.317047,0.297565,0.292281,0.252494,0.300621,0.349958,0.302239,0.358649,0.325066,0.3039,0.336479
8.73554,0.342583,0.325795,0.317087,0.320251,0.318006,0.308156,0.282203,0.309575,0.305528,0.28925,0.287052,0.273845,0.297733,0.318722,0.311366,0.284501,0.242803,0.263883,0.282051,0.297523,0.261412,0.278684,0.260671,0.288626,0.285122,0.259404,0.27339,0.29905,0.267185,0.277087,0.242017,0.283481,0.325161,0.280681,0.328637,0.305295,0.284141,0.309735
9.23554,0.306014,0.299984,0.291188,0.287094,0.286382,0.281321,0.254287,0.281245,0.277075,0.261672,0.257396,0.255493,0.276359,0.287952,0.282644,0.25587,0.223466,0.233145,0.258285,0.271282,0.239183,0.253799,0.235251,0.255541,0.255988,0.240029,0.25745,0.269896,0.22932,0.252248,0.222711,0.257209,0.290062,0.251719,0.290198,0.273801,0.260812,0.278883
9.73554,0.265971,0.267572,0.263221,0.253432,0.250117,0.251463,0.224068,0.250137,0.243766,0.228994,0.225695,0.233331,0.251845,0.25624,0.24939,0.224608,0.201571,0.20218,0.232113,0.245137,0.216455,0.229523,0.208529,0.220754,0.223122,0.21364,0.236628,0.235397,0.190681,0.222573,0.198714,0.225466,0.250975,0.219717,0.2489,0.236379,0.23664,0.248647
10.2355,0.226449,0.233899,0.236847,0.222483,0.215913,0.222823,0.198014,0.221576,0.210183,0.197229,0.200332,0.20897,0.226586,0.22762,0.214829,0.193923,0.179152,0.176785,0.206608,0.221036,0.195466,0.207786,0.183973,0.190561,0.190894,0.184539,0.215061,0.202606,0.157308,0.194996,0.175564,0.193592,0.213621,0.189089,0.211276,0.199384,0.213535,0.220333
10.7355,0.191061,0.20441,0.216283,0.195556,0.187127,0.198929,0.178982,0.199029,0.181941,0.170407,0.184503,0.18614,0.20501,0.203173,0.180666,0.165952,0.159416,0.158838,0.183834,0.20036,0.178654,0.189536,0.163607,0.167604,0.164838,0.157499,0.196428,0.17743,0.131678,0.174528,0.156572,0.164947,0.18453,0.162897,0.181656,0.168056,0.192066,0.193365
11.2355,0.161504,0.183585,0.20162,0.172896,0.165939,0.180966,0.166679,0.183692,0.159431,0.151056,0.177995,0.167827,0.188658,0.183802,0.15081,0.144357,0.14478,0.14781,0.165541,0.182987,0.166313,0.175977,0.14852,0.151986,0.146317,0.136074,0.182756,0.161299,0.114016,0.161414,0.142873,0.142527,0.164451,0.142534,0.160918,0.144905,0.1729,0.168295
11.7355,0.137106,0.169344,0.189663,0.152245,0.150476,0.168469,0.158014,0.172075,0.142669,0.136738,0.177419,0.153527,0.17681,0.166656,0.124199,0.127906,0.133215,0.14019,0.149703,0.16893,0.157471,0.165578,0.136655,0.14061,0.13218,0.120523,0.174439,0.150674,0.101398,0.15411,0.132503,0.124402,0.150738,0.126062,0.147837,0.127527,0.15555,0.143338
12.2355,0.119203,0.161659,0.178024,0.13166,0.139698,0.160399,0.151523,0.163901,0.131006,0.12548,0.181511,0.143038,0.169778,0.148788,0.0998336,0.114017,0.127397,0.134921,0.134234,0.156857,0.152331,0.157773,0.12637,0.131409,0.122194,0.111487,0.169833,0.145865,0.0936748,0.152377,0.124843,0.108885,0.143201,0.112487,0.141249,0.116289,0.138242,0.115785
