Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-26.8123,0.17613,0.187096,0.200937,0.196205,0.205416,0.206383,0.199877,0.208656,0.199519,0.201637,0.200824,0.184357,0.170847,0.174614,0.161581,0.178257,0.185355,0.19383,0.188727,0.173564,0.172497,0.179169,0.176238,0.180961,0.195675,0.160856,0.191152,0.178649,0.170301,0.166034,0.204071,0.193745,0.20356,0.193864,0.167761,0.190033,0.182568,0.163491
-26.3123,0.179555,0.190065,0.196767,0.192717,0.195702,0.20271,0.195415,0.19782,0.19545,0.196819,0.193704,0.17656,0.165463,0.16697,0.158321,0.175719,0.178265,0.184299,0.183649,0.169486,0.163711,0.173494,0.175136,0.176163,0.196131,0.160945,0.188154,0.172027,0.164592,0.165832,0.196577,0.188352,0.193478,0.186687,0.162129,0.188033,0.178347,0.15955
-25.8123,0.166412,0.167098,0.171379,0.185383,0.175152,0.182908,0.173484,0.173401,0.182606,0.182406,0.170452,0.153862,0.153495,0.146274,0.145036,0.163795,0.157565,0.164382,0.169058,0.160171,0.142644,0.153178,0.15875,0.163395,0.190579,0.145931,0.174451,0.155419,0.141414,0.152181,0.175284,0.168827,0.167285,0.169124,0.152698,0.165643,0.157401,0.143645
-25.3123,0.162264,0.154073,0.159105,0.184383,0.169705,0.174991,0.165844,0.166089,0.168657,0.178192,0.156618,0.146157,0.147918,0.137415,0.141166,0.159594,0.145319,0.154534,0.163632,0.16132,0.134833,0.143158,0.148452,0.155373,0.189376,0.13929,0.169028,0.150196,0.133514,0.146613,0.165165,0.158727,0.157422,0.158672,0.15077,0.15471,0.147374,0.136145
-24.8123,0.164039,0.147469,0.15806,0.184509,0.170486,0.173122,0.163279,0.166668,0.162331,0.180713,0.150716,0.142707,0.146136,0.137391,0.143962,0.162111,0.140666,0.152355,0.162031,0.16481,0.135253,0.138022,0.141561,0.149832,0.188657,0.137469,0.169218,0.148626,0.133225,0.144379,0.163483,0.15486,0.156353,0.152717,0.151742,0.154001,0.143909,0.134213
-24.3123,0.169451,0.144164,0.161993,0.184035,0.171146,0.171046,0.161213,0.167151,0.165096,0.184556,0.148428,0.136622,0.144736,0.140199,0.148764,0.164643,0.137521,0.151231,0.161903,0.164553,0.137649,0.138,0.134625,0.143475,0.18502,0.13807,0.170638,0.145587,0.134051,0.143756,0.163419,0.152349,0.155296,0.147708,0.150635,0.157199,0.141416,0.135456
-23.8123,0.173328,0.146342,0.165983,0.184722,0.168043,0.162688,0.16038,0.164382,0.17961,0.180265,0.147581,0.127936,0.144638,0.142864,0.148368,0.161199,0.135249,0.148219,0.162613,0.16097,0.139981,0.142502,0.126786,0.135725,0.176583,0.137655,0.169824,0.142215,0.13342,0.143737,0.159553,0.148284,0.147539,0.143539,0.147122,0.156731,0.138341,0.139813
-23.3123,0.176133,0.158411,0.168613,0.191277,0.16571,0.157504,0.165187,0.166199,0.195895,0.16936,0.152115,0.126015,0.147648,0.147973,0.146154,0.160241,0.141233,0.149392,0.165904,0.160345,0.14361,0.150424,0.124549,0.135075,0.171513,0.139085,0.170308,0.144435,0.134238,0.149783,0.156745,0.148348,0.143811,0.145902,0.14889,0.15808,0.139748,0.15101
-22.8123,0.183272,0.181845,0.17494,0.207099,0.172061,0.164842,0.18141,0.182098,0.215477,0.167465,0.167368,0.136816,0.159587,0.163382,0.151176,0.170605,0.155739,0.158657,0.177553,0.169911,0.155489,0.167804,0.131633,0.146776,0.178836,0.150281,0.179222,0.15641,0.14369,0.167822,0.164707,0.160648,0.154343,0.16063,0.163388,0.167829,0.151663,0.172269
-22.3123,0.204691,0.220386,0.194202,0.23694,0.195425,0.19358,0.215298,0.218998,0.245347,0.187805,0.200009,0.166203,0.18762,0.195983,0.172496,0.198761,0.183866,0.18295,0.205067,0.196721,0.182649,0.200839,0.154004,0.175974,0.205165,0.177609,0.204073,0.18373,0.169467,0.202017,0.191028,0.191571,0.185272,0.192688,0.19788,0.192029,0.180039,0.207802
