Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-31.4028,0.15607,0.189276,0.179374,0.170798,0.196244,0.189282,0.148231,0.169532,0.180816,0.161611,0.177446,0.151807,0.167714,0.178584,0.130744,0.137938,0.130154,0.156474,0.151628,0.160505,0.143576,0.119808,0.135442,0.143565,0.151458,0.145229,0.133685,0.147369,0.143788,0.141571,0.128054,0.155492,0.143663,0.162433,0.165492,0.152784,0.167489,0.158929
-30.9028,0.164781,0.193609,0.187104,0.173057,0.206093,0.199074,0.153061,0.172562,0.188144,0.164522,0.187675,0.161537,0.176744,0.187645,0.132074,0.140243,0.1385,0.162329,0.158832,0.166745,0.147558,0.126677,0.142647,0.149551,0.158213,0.154032,0.141291,0.151486,0.15535,0.147898,0.135047,0.163133,0.151585,0.167861,0.170167,0.156761,0.169789,0.168432
-30.4028,0.175611,0.200155,0.198014,0.176268,0.21654,0.209625,0.160012,0.180828,0.198418,0.170764,0.199441,0.169851,0.185932,0.196366,0.136399,0.144433,0.146346,0.170515,0.16908,0.173584,0.153718,0.134514,0.150265,0.157281,0.166545,0.164906,0.149366,0.156617,0.166747,0.155462,0.143406,0.170627,0.159939,0.175533,0.179574,0.164144,0.175029,0.178706
-29.9028,0.188741,0.208382,0.210448,0.179477,0.226953,0.221349,0.16857,0.191772,0.208086,0.178804,0.213147,0.177244,0.194979,0.204881,0.142545,0.149825,0.153784,0.180518,0.180168,0.180904,0.1613,0.143,0.157521,0.16532,0.176083,0.176112,0.155418,0.161845,0.177687,0.164277,0.151481,0.177816,0.169284,0.18369,0.191399,0.172475,0.182075,0.189774
-29.4028,0.204203,0.217583,0.225009,0.182443,0.2373,0.233917,0.177981,0.204639,0.215749,0.187361,0.229005,0.184838,0.20262,0.213014,0.1503,0.156944,0.160867,0.191226,0.191307,0.189328,0.169842,0.151819,0.16384,0.173483,0.185911,0.186859,0.158359,0.166163,0.186868,0.174411,0.16,0.185349,0.179525,0.192438,0.205671,0.181337,0.190597,0.201748
-28.9028,0.216823,0.225185,0.237703,0.184284,0.244836,0.24399,0.185139,0.215806,0.218635,0.193427,0.241789,0.190604,0.205584,0.217457,0.157143,0.164051,0.165758,0.198335,0.199536,0.196196,0.177335,0.15911,0.167387,0.179161,0.191867,0.193308,0.15609,0.167993,0.190241,0.183823,0.167352,0.191513,0.188208,0.198903,0.219894,0.187749,0.197754,0.210981
-28.4028,0.221256,0.227257,0.243448,0.183513,0.248365,0.249485,0.187966,0.221012,0.216046,0.194508,0.246553,0.192356,0.203164,0.216123,0.160939,0.167996,0.168308,0.199226,0.20264,0.199642,0.180575,0.163785,0.167812,0.180528,0.192434,0.193774,0.15139,0.167268,0.188669,0.190457,0.172185,0.194739,0.192417,0.201902,0.229937,0.188317,0.201516,0.21549
-27.9028,0.218031,0.223973,0.24176,0.182008,0.248432,0.250804,0.187322,0.22045,0.211543,0.192073,0.242709,0.1911,0.197928,0.211245,0.161413,0.169605,0.169751,0.196312,0.201594,0.200066,0.179697,0.166424,0.167096,0.178987,0.189653,0.190578,0.149083,0.166898,0.185562,0.193953,0.175379,0.195859,0.192551,0.201844,0.23448,0.184537,0.20243,0.215455
-27.4028,0.212846,0.219188,0.238166,0.181758,0.247403,0.251675,0.18708,0.218521,0.210006,0.190068,0.233633,0.190109,0.195377,0.208252,0.16229,0.171996,0.172842,0.195262,0.200434,0.200294,0.178934,0.170209,0.167697,0.178244,0.187808,0.187513,0.151939,0.170016,0.185226,0.196626,0.179154,0.197726,0.192227,0.200995,0.236027,0.181363,0.203335,0.21375
-26.9028,0.209278,0.215444,0.236409,0.184127,0.246998,0.253963,0.189365,0.217874,0.213826,0.190803,0.223283,0.191617,0.196969,0.209394,0.165477,0.176569,0.17861,0.198213,0.200794,0.202173,0.180588,0.175663,0.170053,0.179737,0.188936,0.186774,0.159931,0.177381,0.188723,0.200478,0.184924,0.201429,0.193897,0.201076,0.236817,0.181454,0.205298,0.21221
-26.4028,0.209016,0.214747,0.238945,0.189314,0.248399,0.258102,0.194445,0.220005,0.222953,0.19501,0.214696,0.196645,0.202395,0.215356,0.171873,0.184358,0.187204,0.205521,0.203001,0.206267,0.185686,0.183096,0.173934,0.183897,0.193854,0.18874,0.171419,0.188362,0.195642,0.20681,0.193073,0.207827,0.198907,0.203,0.238746,0.186319,0.20893,0.212064
-25.9028,0.211649,0.217395,0.245123,0.196591,0.251596,0.263129,0.201569,0.224486,0.235311,0.201746,0.208767,0.204581,0.209951,0.224473,0.181271,0.194584,0.197071,0.215136,0.206767,0.211743,0.193011,0.191866,0.179001,0.190023,0.201381,0.192462,0.18418,0.201063,0.204265,0.214951,0.202727,0.216029,0.20655,0.2066,0.241872,0.194722,0.213658,0.213383
-25.4028,0.216643,0.223019,0.253264,0.205486,0.256796,0.268658,0.209426,0.230271,0.248941,0.210163,0.206799,0.214255,0.218057,0.235049,0.192163,0.205755,0.207034,0.22519,0.211665,0.21795,0.201578,0.200837,0.184894,0.197315,0.210911,0.197786,0.196553,0.213903,0.213285,0.224121,0.212962,0.225257,0.21602,0.211525,0.246921,0.204548,0.219149,0.216398
-24.9028,0.224225,0.231232,0.262453,0.215673,0.26384,0.274606,0.217493,0.237606,0.262434,0.219996,0.209205,0.224869,0.226346,0.246566,0.203869,0.217679,0.216816,0.23521,0.217704,0.224742,0.210378,0.209987,0.192022,0.205905,0.222225,0.204627,0.207792,0.226089,0.222426,0.23383,0.223256,0.2353,0.226387,0.217647,0.254297,0.215132,0.225779,0.221704
-24.4028,0.234219,0.241093,0.271736,0.226545,0.272236,0.281448,0.225595,0.245824,0.274899,0.230733,0.215841,0.235773,0.234598,0.257753,0.215517,0.229808,0.226088,0.244596,0.225147,0.232069,0.219137,0.21911,0.200073,0.215296,0.23432,0.212677,0.217662,0.237079,0.231677,0.243854,0.23359,0.245451,0.237023,0.224914,0.263457,0.225673,0.233315,0.229551
-23.9028,0.245595,0.250821,0.280531,0.237492,0.280696,0.288803,0.233305,0.254445,0.286089,0.241301,0.225678,0.246323,0.242668,0.268114,0.226073,0.240965,0.234885,0.253339,0.233491,0.239786,0.227695,0.227968,0.208414,0.224887,0.246431,0.221114,0.22602,0.246835,0.240949,0.253738,0.243589,0.255366,0.247319,0.232744,0.273489,0.235885,0.240906,0.239138
-23.4028,0.25686,0.259242,0.288237,0.247508,0.288118,0.295838,0.239963,0.262508,0.295278,0.250857,0.236925,0.255716,0.250034,0.276912,0.2351,0.250158,0.242241,0.261026,0.241433,0.247283,0.235234,0.236247,0.216319,0.233808,0.257232,0.228694,0.233119,0.254934,0.249609,0.26247,0.251998,0.264258,0.256082,0.23994,0.282514,0.245757,0.247783,0.248932
-22.9028,0.267102,0.265682,0.294851,0.256188,0.294675,0.301724,0.245443,0.26892,0.30273,0.259103,0.248097,0.264022,0.256212,0.28333,0.242838,0.256717,0.247903,0.267631,0.248403,0.253882,0.242125,0.244057,0.223344,0.241896,0.266289,0.234923,0.239311,0.261335,0.256987,0.269549,0.258803,0.271651,0.26297,0.24594,0.289827,0.254928,0.253613,0.257586
-22.4028,0.275759,0.270244,0.300458,0.26328,0.30054,0.305623,0.249327,0.273942,0.308677,0.266151,0.2577,0.271126,0.260945,0.288157,0.249454,0.260694,0.251866,0.273293,0.254084,0.259292,0.248509,0.251268,0.229626,0.249396,0.273666,0.239685,0.244665,0.266638,0.262463,0.274266,0.263415,0.277668,0.267661,0.250687,0.295522,0.262833,0.258475,0.264083
-21.9028,0.282916,0.273124,0.305228,0.268934,0.305552,0.308185,0.251778,0.277958,0.313599,0.272485,0.265614,0.277593,0.264053,0.291726,0.25527,0.263336,0.254791,0.277949,0.25898,0.263809,0.254694,0.257804,0.235488,0.256354,0.279844,0.24357,0.24967,0.271083,0.266463,0.276969,0.266288,0.282444,0.270348,0.255039,0.30026,0.269141,0.262742,0.26927
-21.4028,0.288816,0.274256,0.309592,0.27417,0.309663,0.31045,0.253491,0.282388,0.318223,0.278322,0.272222,0.283402,0.26552,0.2949,0.260297,0.265879,0.257834,0.281628,0.264499,0.267949,0.261169,0.263976,0.241294,0.262656,0.28529,0.24726,0.253695,0.275073,0.269988,0.278576,0.268507,0.286363,0.271782,0.260048,0.304926,0.273797,0.266285,0.274395
-20.9028,0.293114,0.274217,0.313536,0.279328,0.312314,0.312643,0.254576,0.287513,0.322384,0.283043,0.277714,0.287797,0.265808,0.298201,0.264079,0.268831,0.261225,0.284138,0.270934,0.272189,0.267216,0.269247,0.246958,0.267835,0.289752,0.250665,0.256401,0.278585,0.273405,0.279821,0.270058,0.289875,0.272465,0.265263,0.30957,0.277135,0.267883,0.279972
-20.4028,0.295755,0.273902,0.316195,0.284394,0.313784,0.314313,0.255752,0.292612,0.326001,0.286464,0.282308,0.289899,0.265094,0.301308,0.266664,0.27202,0.265047,0.28567,0.277869,0.27646,0.272602,0.273447,0.25246,0.272145,0.29323,0.253476,0.258036,0.281295,0.276503,0.282184,0.271366,0.293331,0.273122,0.26974,0.313891,0.279791,0.266488,0.286135
-19.9028,0.297405,0.274024,0.316622,0.288342,0.314868,0.315074,0.257227,0.296725,0.328497,0.288592,0.28623,0.28941,0.264206,0.304371,0.268209,0.274541,0.269332,0.286358,0.284464,0.280432,0.277627,0.277048,0.257669,0.276401,0.295774,0.255472,0.258899,0.283628,0.278512,0.286658,0.272134,0.296639,0.274385,0.273002,0.317652,0.28208,0.262269,0.292401
-19.4028,0.299084,0.274418,0.314468,0.290584,0.315858,0.315476,0.258821,0.29913,0.329136,0.289753,0.290085,0.287431,0.263662,0.307304,0.269186,0.275774,0.274369,0.28667,0.289328,0.283852,0.283056,0.280619,0.26252,0.281118,0.297533,0.257013,0.260024,0.285876,0.279141,0.293665,0.272557,0.300071,0.276433,0.275009,0.321019,0.284601,0.256134,0.298417
-18.9028,0.302671,0.275577,0.311331,0.292021,0.318212,0.317338,0.261699,0.301493,0.328568,0.291899,0.295007,0.286437,0.264467,0.311137,0.271212,0.276758,0.280925,0.288107,0.293086,0.287507,0.290619,0.285754,0.267298,0.287211,0.300103,0.260101,0.262562,0.289391,0.280021,0.303558,0.27422,0.304464,0.279895,0.27708,0.32491,0.288778,0.250225,0.304751
-18.4028,0.308912,0.278598,0.309901,0.294496,0.322859,0.322308,0.266912,0.305767,0.328097,0.296461,0.301642,0.288634,0.267321,0.316494,0.275761,0.279551,0.28951,0.291891,0.297152,0.292732,0.301039,0.293541,0.272475,0.29517,0.304674,0.266735,0.267369,0.295572,0.283011,0.315902,0.278692,0.310968,0.285415,0.280374,0.330109,0.295945,0.246598,0.312111
-17.9028,0.317477,0.284644,0.312049,0.299903,0.330442,0.331507,0.275181,0.313016,0.329358,0.303979,0.310175,0.294113,0.271955,0.323402,0.284037,0.286029,0.30048,0.299019,0.302851,0.300272,0.314192,0.304443,0.278903,0.305139,0.3122,0.277199,0.274508,0.305192,0.288948,0.329741,0.286941,0.320378,0.2936,0.285671,0.336867,0.306688,0.246841,0.320984
