Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-6.47891,0.429004,0.455171,0.497505,0.526518,0.463948,0.434063,0.408564,0.503806,0.478936,0.536109,0.3943,0.434096,0.445618,0.560167,0.419482,0.348223,0.411075,0.503974,0.490059,0.497195,0.389172,0.421605,0.355231,0.361154,0.42827,0.417208,0.481844,0.46691,0.338597,0.411926,0.446143,0.404195,0.422824,0.407224,0.473128,0.395316,0.416787,0.437212
-5.97891,0.463844,0.475271,0.513741,0.535348,0.483994,0.466374,0.425791,0.507316,0.486293,0.535455,0.41546,0.445602,0.460598,0.552935,0.459661,0.393691,0.433724,0.501827,0.488208,0.490097,0.398988,0.441007,0.365911,0.361854,0.449301,0.43438,0.48468,0.476831,0.344241,0.443722,0.443858,0.412178,0.452664,0.434551,0.484876,0.417004,0.423516,0.453041
-5.47891,0.505679,0.502712,0.534829,0.559142,0.512807,0.505523,0.456008,0.528077,0.509215,0.550339,0.451131,0.460082,0.475965,0.550535,0.500529,0.447448,0.463476,0.510042,0.502344,0.498499,0.423118,0.471441,0.382924,0.37205,0.478174,0.460571,0.50011,0.493996,0.362324,0.485194,0.451672,0.434947,0.489721,0.471799,0.512193,0.447524,0.437243,0.477064
-4.97891,0.545306,0.529463,0.553679,0.588371,0.54453,0.543097,0.489984,0.555349,0.537268,0.572504,0.487464,0.471165,0.489016,0.554031,0.536161,0.496565,0.494287,0.52524,0.523549,0.516094,0.454379,0.506285,0.401081,0.385457,0.508583,0.487266,0.521189,0.512263,0.386063,0.524934,0.465123,0.46607,0.523286,0.508386,0.544328,0.479286,0.457297,0.501406
-4.47891,0.575003,0.550889,0.564887,0.612902,0.574754,0.575212,0.520646,0.580396,0.560266,0.592334,0.514436,0.476181,0.499422,0.56389,0.56434,0.532331,0.520403,0.541137,0.544463,0.534788,0.484849,0.538529,0.418022,0.397026,0.53449,0.508553,0.540285,0.527768,0.410299,0.554461,0.479944,0.497572,0.546196,0.536558,0.573339,0.505522,0.482202,0.520363
-3.97891,0.590601,0.562721,0.565868,0.626087,0.598437,0.601486,0.54196,0.594458,0.572095,0.601138,0.527039,0.473254,0.505789,0.573529,0.582456,0.550229,0.534813,0.548305,0.558765,0.546503,0.507642,0.560597,0.431357,0.404794,0.55087,0.520528,0.549656,0.536079,0.429274,0.56821,0.49356,0.521009,0.554302,0.551713,0.593204,0.52243,0.507316,0.53086
-3.47891,0.591916,0.562474,0.558727,0.624665,0.611478,0.621109,0.551731,0.593035,0.572315,0.595828,0.526708,0.462813,0.505909,0.575139,0.588814,0.551141,0.533789,0.541502,0.562627,0.546187,0.517099,0.568842,0.438989,0.409795,0.556152,0.522592,0.545158,0.5343,0.438395,0.567324,0.503605,0.533324,0.548356,0.553657,0.600829,0.528731,0.527653,0.533056
-2.97891,0.578572,0.548757,0.547222,0.608337,0.611746,0.629754,0.547976,0.576783,0.560831,0.579331,0.517744,0.447176,0.496769,0.564981,0.582601,0.540409,0.519569,0.524871,0.552826,0.533477,0.511586,0.562427,0.439406,0.411748,0.55095,0.515932,0.528759,0.523331,0.43648,0.555412,0.50461,0.535095,0.533355,0.542519,0.594395,0.525823,0.538518,0.528276
-2.47891,0.552542,0.525042,0.530974,0.581154,0.601246,0.6217,0.531072,0.550835,0.536167,0.554695,0.503754,0.430046,0.479264,0.546338,0.565379,0.522374,0.497659,0.504725,0.528506,0.511449,0.493324,0.541086,0.431244,0.409687,0.535508,0.500616,0.506202,0.504844,0.425359,0.536182,0.492813,0.525046,0.513581,0.519798,0.572894,0.514485,0.535773,0.518254
-1.97891,0.518091,0.49723,0.50941,0.547563,0.584256,0.59709,0.508007,0.522688,0.501365,0.526433,0.487792,0.415486,0.459288,0.525084,0.540976,0.500001,0.47524,0.483741,0.496083,0.48497,0.466721,0.510131,0.415694,0.40339,0.51007,0.478071,0.483243,0.481722,0.411326,0.512836,0.472512,0.504129,0.492626,0.489072,0.538169,0.496368,0.519191,0.506106
-1.47891,0.482232,0.471769,0.485071,0.51224,0.563159,0.564306,0.485262,0.498449,0.465985,0.496593,0.467852,0.402493,0.440879,0.501903,0.516937,0.477709,0.456362,0.460308,0.464795,0.454172,0.437861,0.475423,0.397259,0.394375,0.479142,0.451409,0.461707,0.455708,0.400804,0.486727,0.452369,0.476674,0.473079,0.45509,0.499962,0.47478,0.490908,0.493315
-0.978906,0.450899,0.450815,0.460242,0.479563,0.539711,0.532533,0.46506,0.476313,0.43983,0.466151,0.444224,0.390453,0.423612,0.476939,0.496746,0.45772,0.439269,0.434326,0.438192,0.422293,0.412556,0.444551,0.378383,0.383221,0.44881,0.425159,0.439788,0.428833,0.39395,0.460335,0.437421,0.448441,0.454255,0.423921,0.466703,0.451178,0.458685,0.477065
-0.478906,0.42367,0.431305,0.436291,0.448555,0.512956,0.506592,0.443901,0.45136,0.421396,0.436827,0.417294,0.37612,0.406322,0.450426,0.479335,0.440516,0.420612,0.408554,0.414541,0.391616,0.390019,0.418916,0.359138,0.369953,0.421297,0.401778,0.413428,0.403387,0.388289,0.435451,0.423752,0.42329,0.435904,0.396065,0.438916,0.42588,0.426643,0.455141
