Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-14.4637,0.296239,0.255137,0.251407,0.355171,0.241157,0.286953,0.348019,0.378678,0.375996,0.24577,0.251898,0.160766,0.172892,0.309961,0.317261,0.32625,0.278063,0.259976,0.22628,0.263056,0.28695,0.36549,0.360979,0.3634,0.236937,0.250397,0.247744,0.221086,0.266359,0.284761,0.267902,0.261361,0.263108,0.325371,0.316318,0.220201,0.259206,0.237833
-13.9637,0.307799,0.271727,0.261398,0.364653,0.241378,0.298443,0.336559,0.365752,0.38446,0.249261,0.242544,0.169382,0.182322,0.316037,0.322975,0.316558,0.299666,0.269025,0.239323,0.266387,0.27647,0.356304,0.354018,0.357043,0.236138,0.261345,0.256397,0.222719,0.266883,0.289431,0.264853,0.257146,0.272132,0.329464,0.313986,0.232657,0.271051,0.243175
-13.4637,0.326042,0.294556,0.276814,0.378986,0.258396,0.320848,0.336682,0.362704,0.392275,0.26322,0.249863,0.193703,0.201109,0.329878,0.332606,0.316374,0.328011,0.284438,0.262513,0.278268,0.276692,0.351133,0.349209,0.35502,0.249304,0.280582,0.270714,0.236799,0.280125,0.307758,0.274702,0.270733,0.288437,0.341396,0.319643,0.254499,0.288747,0.260946
-12.9637,0.351591,0.324576,0.296669,0.395421,0.286519,0.353012,0.345561,0.366066,0.39941,0.285441,0.272516,0.228905,0.226495,0.348586,0.3484,0.319344,0.355146,0.30544,0.293163,0.296819,0.28489,0.351081,0.346957,0.356505,0.273181,0.305126,0.292908,0.260079,0.301854,0.327848,0.292128,0.296576,0.313833,0.358436,0.331723,0.282955,0.308491,0.288611
-12.4637,0.389618,0.369507,0.325908,0.421089,0.330495,0.398654,0.367685,0.380349,0.411212,0.32106,0.312924,0.283261,0.265884,0.379145,0.385908,0.326915,0.387011,0.334839,0.340071,0.32734,0.305129,0.358503,0.35022,0.362623,0.312606,0.340978,0.32885,0.298847,0.336021,0.358289,0.32171,0.338771,0.351745,0.384454,0.353638,0.322981,0.335664,0.331044
-11.9637,0.423327,0.410164,0.35208,0.4433,0.374185,0.435439,0.404175,0.404473,0.419136,0.358132,0.363442,0.337729,0.308642,0.412707,0.430594,0.336592,0.40417,0.362543,0.383843,0.361039,0.336932,0.376633,0.361629,0.375056,0.358934,0.375324,0.367189,0.344952,0.370431,0.384432,0.357218,0.386962,0.387903,0.406567,0.380091,0.360147,0.358724,0.372984
-11.4637,0.440685,0.433885,0.368041,0.451951,0.39759,0.449769,0.432388,0.424045,0.420725,0.384631,0.399064,0.371312,0.344679,0.440216,0.46306,0.344368,0.403764,0.381934,0.411098,0.384543,0.362636,0.396496,0.373969,0.38724,0.394788,0.397972,0.395656,0.382132,0.387599,0.393891,0.381441,0.416046,0.407989,0.41241,0.399175,0.383565,0.371919,0.397695
-10.9637,0.438758,0.437515,0.373409,0.446975,0.396976,0.440888,0.438807,0.429883,0.415007,0.395761,0.409183,0.380936,0.368968,0.453775,0.46568,0.349645,0.394914,0.390803,0.420572,0.392988,0.372554,0.407192,0.376907,0.392491,0.410051,0.407981,0.404197,0.402339,0.385356,0.392711,0.385932,0.419391,0.407348,0.401037,0.403788,0.389758,0.37589,0.402693
-10.4637,0.423865,0.425086,0.370365,0.429029,0.381515,0.418012,0.423249,0.420923,0.401935,0.392995,0.39923,0.373494,0.377793,0.447262,0.431024,0.347921,0.380689,0.387533,0.412236,0.386442,0.363124,0.400638,0.36565,0.387721,0.404039,0.405529,0.393258,0.402151,0.37052,0.38311,0.370706,0.402053,0.391607,0.377371,0.393683,0.380706,0.37163,0.395183
-9.96372,0.406627,0.407787,0.363163,0.403568,0.362671,0.394458,0.397798,0.405594,0.387792,0.380699,0.378299,0.358912,0.371488,0.422854,0.379244,0.337699,0.362947,0.372647,0.392599,0.369606,0.341627,0.379147,0.346431,0.373316,0.381252,0.391198,0.370471,0.382769,0.352027,0.370951,0.345094,0.375057,0.367925,0.351551,0.375554,0.360237,0.35973,0.381238
