Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-13.335,0.233969,0.229192,0.234626,0.202214,0.193692,0.204761,0.210901,0.209729,0.22408,0.221334,0.21047,0.222222,0.192721,0.217627,0.20498,0.191305,0.177319,0.189697,0.207148,0.204463,0.205694,0.213701,0.20296,0.23064,0.253804,0.179903,0.191168,0.222205,0.207634,0.222239,0.212482,0.2359,0.213653,0.17955,0.214066,0.213798,0.17584,0.233371
-12.835,0.254286,0.245372,0.242407,0.202368,0.205293,0.212216,0.221208,0.218697,0.235372,0.230674,0.226774,0.236874,0.206149,0.220285,0.210225,0.198714,0.186471,0.203993,0.216875,0.212227,0.210583,0.219369,0.214433,0.235131,0.25311,0.19419,0.199906,0.227091,0.211786,0.223549,0.218274,0.236899,0.217651,0.188852,0.216699,0.221669,0.184949,0.23191
-12.335,0.270865,0.256345,0.24584,0.205667,0.212741,0.214896,0.228539,0.219647,0.240404,0.235939,0.237056,0.243394,0.217083,0.222546,0.213354,0.201468,0.195023,0.213519,0.22312,0.215578,0.211056,0.220158,0.218872,0.232454,0.242626,0.202203,0.206639,0.228106,0.210104,0.223477,0.219367,0.232648,0.217156,0.193896,0.21532,0.225848,0.189683,0.226741
-11.835,0.276719,0.258099,0.246916,0.212881,0.215712,0.2134,0.227652,0.213619,0.24325,0.240108,0.243455,0.245942,0.223651,0.220816,0.212743,0.20152,0.199175,0.218745,0.222282,0.214789,0.207507,0.216469,0.218786,0.225546,0.225578,0.203408,0.210758,0.226333,0.205351,0.21928,0.215109,0.225147,0.215217,0.196357,0.212918,0.225494,0.189231,0.221129
-11.335,0.266521,0.248703,0.240951,0.216287,0.210202,0.205977,0.218934,0.200456,0.241633,0.239242,0.239576,0.239602,0.218926,0.212398,0.206056,0.196648,0.194654,0.213942,0.210819,0.206748,0.199696,0.206881,0.211985,0.215613,0.204673,0.195617,0.208791,0.217601,0.196856,0.205822,0.203768,0.212927,0.209873,0.192302,0.207208,0.216174,0.181613,0.212621
-10.835,0.239541,0.23005,0.22725,0.209666,0.196574,0.195974,0.206005,0.18457,0.233795,0.232354,0.231817,0.226748,0.202968,0.198525,0.196741,0.190023,0.180322,0.201317,0.192864,0.192601,0.189548,0.193096,0.19853,0.20239,0.181153,0.181735,0.200207,0.199942,0.184914,0.182345,0.191936,0.197297,0.19804,0.183133,0.196626,0.196564,0.170436,0.196953
-10.335,0.222783,0.221639,0.221284,0.207636,0.189851,0.194292,0.202668,0.18281,0.231812,0.232578,0.230379,0.220792,0.193868,0.192042,0.193357,0.191726,0.172559,0.193994,0.185032,0.1867,0.186306,0.188436,0.194107,0.198467,0.168207,0.175791,0.198456,0.189985,0.180712,0.165095,0.189368,0.192029,0.19083,0.179699,0.19225,0.184051,0.168486,0.186595
-9.83502,0.217735,0.221844,0.221717,0.210413,0.189831,0.198654,0.205912,0.189785,0.235299,0.236827,0.23112,0.220482,0.191576,0.1912,0.192766,0.197867,0.172582,0.191993,0.185268,0.187979,0.186667,0.191447,0.195513,0.201406,0.162901,0.175711,0.19916,0.187717,0.1806,0.155379,0.191696,0.194604,0.189661,0.179994,0.192237,0.179831,0.174132,0.181285
-9.33502,0.221375,0.227411,0.226274,0.217204,0.196318,0.206685,0.213037,0.20227,0.244149,0.243994,0.235038,0.225104,0.19512,0.195314,0.195184,0.206454,0.179153,0.196136,0.191599,0.194183,0.189704,0.200418,0.200384,0.209321,0.164182,0.179654,0.203016,0.191163,0.183065,0.153486,0.198478,0.203615,0.194024,0.183736,0.197083,0.183071,0.186196,0.181148
-8.83502,0.231747,0.235923,0.23324,0.227405,0.207463,0.215781,0.221409,0.217771,0.256222,0.253365,0.24075,0.23344,0.202801,0.202445,0.200086,0.215445,0.190429,0.205197,0.202518,0.202944,0.194591,0.21295,0.207216,0.22043,0.171162,0.185904,0.209942,0.197549,0.187314,0.158136,0.208173,0.216111,0.203015,0.189875,0.206573,0.192163,0.202625,0.185007
