Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-22.2781,0.13421,0.159498,0.138907,0.113679,0.16231,0.156389,0.158702,0.163038,0.104413,0.146932,0.120133,0.136331,0.115947,0.165598,0.16439,0.123657,0.116473,0.109571,0.150609,0.15091,0.104131,0.107811,0.140895,0.149304,0.145815,0.122697,0.141542,0.150618,0.135307,0.129766,0.154211,0.151989,0.131967,0.126146,0.132316,0.127877,0.112528,0.130861
-21.7781,0.143527,0.158307,0.147906,0.122683,0.16798,0.160792,0.162615,0.166205,0.114118,0.153764,0.124261,0.143606,0.11689,0.170736,0.16493,0.124606,0.123118,0.114436,0.156187,0.155771,0.111191,0.117235,0.147339,0.158233,0.149549,0.127429,0.146829,0.155438,0.140183,0.134346,0.157761,0.159799,0.141024,0.135202,0.140301,0.128856,0.11877,0.135956
-21.2781,0.159354,0.162715,0.162146,0.136411,0.178203,0.169677,0.16983,0.173967,0.129832,0.164961,0.133578,0.154935,0.122854,0.181927,0.170673,0.132075,0.133306,0.123147,0.166407,0.163784,0.121557,0.130072,0.156047,0.170662,0.156309,0.135292,0.156876,0.165128,0.148238,0.143276,0.163361,0.171383,0.153318,0.147593,0.153182,0.133342,0.129333,0.145416
-20.7781,0.18524,0.176472,0.183724,0.157772,0.194892,0.186105,0.183188,0.189362,0.155007,0.183107,0.150946,0.172825,0.136477,0.201384,0.184144,0.149635,0.149888,0.138755,0.183423,0.177572,0.138136,0.150164,0.169528,0.188835,0.168035,0.14887,0.173202,0.181764,0.162334,0.159083,0.17372,0.188702,0.171593,0.165771,0.173056,0.144756,0.147383,0.162596
-20.2781,0.226378,0.20542,0.216688,0.192112,0.223089,0.215226,0.207042,0.218279,0.194865,0.211875,0.180729,0.202126,0.163902,0.233581,0.210924,0.184072,0.176755,0.165459,0.210943,0.201545,0.165213,0.182473,0.191039,0.215924,0.188397,0.173151,0.200051,0.209062,0.187449,0.185797,0.191904,0.214515,0.200254,0.193694,0.20472,0.167558,0.177334,0.192405
-19.7781,0.275136,0.249424,0.254587,0.233786,0.259722,0.2549,0.240303,0.259351,0.242354,0.245334,0.219287,0.238537,0.204857,0.275177,0.250703,0.233933,0.209836,0.199658,0.245483,0.233026,0.199763,0.2234,0.21726,0.246779,0.215411,0.207489,0.23354,0.243396,0.223223,0.220181,0.217798,0.243912,0.235251,0.226076,0.242931,0.20089,0.215778,0.232759
-19.2781,0.320132,0.300162,0.290208,0.274422,0.297927,0.297821,0.278895,0.30397,0.287275,0.275493,0.25967,0.274598,0.251469,0.317461,0.296086,0.287684,0.243467,0.235382,0.280639,0.266981,0.237436,0.267819,0.244467,0.275874,0.245186,0.247749,0.268422,0.277651,0.265373,0.255981,0.248806,0.272408,0.271669,0.257672,0.280719,0.238263,0.255415,0.276306
-18.7781,0.353499,0.347661,0.318686,0.307072,0.331849,0.335556,0.316961,0.343484,0.320946,0.296718,0.296212,0.304713,0.293869,0.352779,0.337814,0.33314,0.272989,0.267471,0.311006,0.29823,0.272962,0.309272,0.26917,0.299793,0.274266,0.288079,0.300003,0.30526,0.307034,0.288027,0.280383,0.297671,0.304266,0.285255,0.31266,0.272327,0.289565,0.315273
-18.2781,0.371428,0.383901,0.336347,0.327348,0.356294,0.362427,0.348085,0.372279,0.339427,0.306975,0.325404,0.325394,0.324705,0.376355,0.367674,0.3616,0.294946,0.292966,0.332686,0.322079,0.300691,0.340473,0.288056,0.315997,0.298763,0.321283,0.323612,0.321966,0.339157,0.313008,0.307066,0.317868,0.327468,0.306095,0.335209,0.29955,0.314747,0.344245
-17.7781,0.37345,0.403274,0.341278,0.334702,0.368391,0.375879,0.36623,0.38836,0.34303,0.307453,0.343952,0.335228,0.341142,0.38663,0.379819,0.369867,0.306968,0.309697,0.342966,0.335402,0.316541,0.35636,0.298439,0.322882,0.315219,0.340688,0.336019,0.326909,0.354787,0.329138,0.323111,0.33015,0.338285,0.318179,0.346903,0.318222,0.32923,0.359723
-17.2781,0.361429,0.403436,0.333951,0.331548,0.368537,0.376163,0.368641,0.391999,0.334383,0.300453,0.34826,0.33422,0.344511,0.385187,0.373031,0.360338,0.307878,0.314743,0.341326,0.336522,0.318837,0.355055,0.29834,0.319803,0.321636,0.343538,0.33607,0.322312,0.352214,0.336094,0.325464,0.332027,0.33726,0.320078,0.348002,0.326327,0.332511,0.360761
-16.7781,0.339612,0.386517,0.316977,0.320284,0.357292,0.365167,0.356507,0.382463,0.316138,0.287336,0.335835,0.323073,0.336096,0.372533,0.350562,0.338257,0.297687,0.306513,0.329409,0.325542,0.309302,0.338698,0.28768,0.306183,0.317204,0.331982,0.324736,0.311206,0.334203,0.334736,0.313796,0.322789,0.325865,0.311274,0.339005,0.322933,0.325482,0.348293
-16.2781,0.316138,0.358489,0.295018,0.302976,0.33786,0.345816,0.33435,0.361603,0.289886,0.269762,0.306544,0.305989,0.316663,0.348946,0.319575,0.311113,0.278974,0.286503,0.311383,0.305349,0.292388,0.313203,0.268655,0.282213,0.303276,0.311473,0.30487,0.296479,0.306362,0.325866,0.289501,0.304251,0.305409,0.293058,0.319497,0.309636,0.31045,0.324799
-15.7781,0.301364,0.331792,0.277207,0.285514,0.319784,0.325242,0.312662,0.340349,0.263308,0.253853,0.272647,0.289349,0.294508,0.322033,0.293407,0.289615,0.260036,0.265429,0.296176,0.284928,0.276021,0.28983,0.249831,0.256883,0.288616,0.292231,0.285886,0.283196,0.279054,0.314046,0.263708,0.283949,0.282656,0.273747,0.296525,0.295082,0.295994,0.299902
-15.2781,0.296336,0.312453,0.267318,0.270856,0.308212,0.308493,0.297526,0.326699,0.241201,0.243982,0.244938,0.275849,0.275803,0.296752,0.276206,0.276119,0.245446,0.250728,0.286915,0.26924,0.263834,0.272847,0.2358,0.23792,0.279612,0.278877,0.273006,0.273153,0.25697,0.302827,0.244928,0.26749,0.261687,0.259215,0.274819,0.285212,0.28795,0.278875
-14.7781,0.299636,0.304554,0.268069,0.26053,0.306222,0.300848,0.291925,0.324699,0.22774,0.244743,0.232201,0.266549,0.264974,0.279008,0.268705,0.270382,0.237702,0.246339,0.284459,0.260341,0.256102,0.263625,0.229251,0.230712,0.27937,0.272656,0.268252,0.267331,0.242455,0.293591,0.238506,0.258645,0.246758,0.251841,0.258753,0.282879,0.288316,0.265173
-14.2781,0.308501,0.308708,0.279614,0.255551,0.312656,0.304306,0.296338,0.333309,0.224486,0.258464,0.239037,0.261012,0.263738,0.272608,0.269149,0.269361,0.238281,0.251851,0.286242,0.257897,0.252118,0.260693,0.230357,0.235779,0.287826,0.272417,0.270166,0.265375,0.236536,0.287699,0.247508,0.258526,0.240487,0.252768,0.250394,0.286362,0.295639,0.259745
-13.7781,0.319997,0.318725,0.294529,0.257225,0.320413,0.316522,0.305801,0.343644,0.230991,0.27991,0.259804,0.260731,0.268796,0.277993,0.274182,0.269373,0.245925,0.260815,0.287307,0.258922,0.251058,0.262711,0.237334,0.247452,0.29769,0.275041,0.274004,0.266113,0.237203,0.283952,0.266271,0.266471,0.243722,0.257979,0.248121,0.290802,0.304033,0.260153
-13.2781,0.332474,0.32672,0.30726,0.264728,0.323243,0.32964,0.314433,0.347887,0.244458,0.300387,0.2803,0.2651,0.27526,0.290531,0.281248,0.269693,0.25716,0.267918,0.287586,0.260439,0.252838,0.268267,0.248456,0.257997,0.302514,0.276057,0.277383,0.269293,0.238966,0.279354,0.284318,0.277419,0.253093,0.260873,0.248161,0.293388,0.308092,0.263763
-12.7781,0.340335,0.328135,0.315885,0.277115,0.320389,0.336877,0.321491,0.347899,0.264043,0.313314,0.295467,0.271724,0.282465,0.303415,0.286112,0.269717,0.270388,0.272045,0.288129,0.262463,0.259931,0.276091,0.262449,0.266794,0.303514,0.273882,0.280148,0.274712,0.240369,0.275566,0.297341,0.288908,0.265895,0.261199,0.248475,0.293257,0.307298,0.268816
-12.2781,0.340073,0.323241,0.321643,0.292234,0.313684,0.339088,0.326886,0.347385,0.285257,0.316441,0.306358,0.279596,0.288217,0.309906,0.285169,0.270283,0.2827,0.274722,0.288999,0.264488,0.270229,0.286133,0.276968,0.276026,0.304552,0.268818,0.283018,0.280402,0.241317,0.275266,0.304807,0.300412,0.27918,0.260224,0.249699,0.290974,0.303952,0.272636
-11.7781,0.330623,0.316296,0.326306,0.304422,0.304415,0.339436,0.330151,0.347779,0.299995,0.313244,0.314621,0.287572,0.29091,0.306046,0.275912,0.270738,0.28948,0.276638,0.289174,0.26632,0.277379,0.294599,0.286347,0.283564,0.308188,0.262386,0.284841,0.284813,0.242388,0.2789,0.307303,0.308668,0.289068,0.259906,0.25268,0.285673,0.299432,0.272324
-11.2781,0.315483,0.30879,0.327886,0.310459,0.292821,0.337513,0.330175,0.346868,0.300873,0.307416,0.320297,0.292065,0.288897,0.293396,0.259243,0.268599,0.2895,0.2755,0.287156,0.266785,0.276837,0.298062,0.285977,0.286257,0.3134,0.257132,0.28459,0.286923,0.243228,0.283165,0.305212,0.310768,0.29255,0.26131,0.256387,0.27708,0.293743,0.265884
-10.7781,0.301439,0.300133,0.323899,0.309493,0.280688,0.332437,0.324698,0.340345,0.289761,0.299851,0.320884,0.290891,0.282346,0.27878,0.243209,0.264699,0.28288,0.270373,0.284367,0.265805,0.269149,0.296447,0.276878,0.282669,0.315985,0.255795,0.283891,0.286611,0.24396,0.285132,0.298959,0.305861,0.287932,0.263426,0.260906,0.267924,0.286327,0.257863
-10.2781,0.292667,0.291394,0.314842,0.303346,0.272234,0.324617,0.313159,0.328166,0.278521,0.289752,0.316025,0.284159,0.275274,0.26678,0.234942,0.261039,0.27105,0.26286,0.284507,0.265865,0.260845,0.290699,0.264833,0.275504,0.313605,0.257863,0.283737,0.285711,0.24502,0.284141,0.290299,0.295907,0.277131,0.26502,0.267634,0.261458,0.278375,0.255504
-9.77813,0.287776,0.284701,0.303565,0.296358,0.270909,0.314552,0.296866,0.312712,0.275834,0.277092,0.30852,0.273236,0.269924,0.256342,0.235815,0.257722,0.258789,0.256755,0.288258,0.267946,0.256877,0.282623,0.256798,0.269131,0.308113,0.259826,0.28337,0.286541,0.24744,0.282777,0.281445,0.286372,0.264481,0.265516,0.273799,0.259183,0.272976,0.257569
-9.27813,0.282844,0.280638,0.292655,0.29088,0.271662,0.304124,0.278122,0.295677,0.2763,0.265124,0.300752,0.261467,0.264891,0.246065,0.240586,0.255381,0.247695,0.253632,0.291625,0.270044,0.257766,0.275047,0.253374,0.26426,0.302343,0.25951,0.282073,0.28936,0.247212,0.281572,0.273358,0.280139,0.253796,0.26366,0.275477,0.257645,0.270485,0.259328
-8.77813,0.274096,0.279382,0.28283,0.286123,0.270833,0.292964,0.258786,0.278484,0.274453,0.255969,0.294123,0.250655,0.258913,0.235997,0.242692,0.253418,0.238215,0.251068,0.294114,0.2719,0.260334,0.266318,0.252027,0.261002,0.298142,0.256405,0.279821,0.293252,0.242654,0.281599,0.265695,0.275984,0.24601,0.259627,0.272681,0.254028,0.268005,0.256527
